setor_economatica,setor_bovespa,id_cvm,codigo,listagem_bovespa,at,k,ll,d_cp,d_lp,v,depreciacao,caixa,dividendos,qtd_acoes,pl,v_merc,ebit,desp_fin,div_onerosa,fcl,cap_giro,ano,inv,fc,divida,cv,tamanho,alavanc,caixa_normalizado,dividendos_normalizado,q_tobin,cob_juros,div_pl,roa,roe,rok,fcl_normalizado,divonerosa_normalizado,tx_vendas,epu,cvm_reg,idade_firma,divlp_at,dum_dividendos,cv_industria,ln_epu,kz,ww,sa,fcp,dum_kz,dum_ww,dum_sa,dum_fcp,embi,fbcf,iee,ln_iie,epu_fc,epu_iie,epu_cv,ln_pib
Alimentos e Bebidas,Consumo Nao Ciclico,2326,ABEV3,Tradicional,72189861878.0,14496373365.0,13519695110.0,22542660799.0,9235318271.9,42442540082.0,2276091819.3,12636109156.0,8062619942.053,3117189000.0,40071542587.0,252411736538.9,18321378132.0,1930291134.9,6418448098.4,14829823075.0,424831900.25,2011,0.0150856995648933,0.22210982273943,0.446840751274156,0.0093940835201822,25.0025654557836,0.44228518628427,0.177680540850371,0.11337118525086,3.93669842574401,9.49151027052153,0.201205629270401,0.187279692165752,0.337388935817661,1.15372749384875,0.208527083151236,0.09025193716392,1.00939408352018,133.884857654572,1998,13,0.127930959163041,1,0.148548721291337,4.89698015933123,-2.41823239384644,-1.16481514713283,7.93362527202945,-4.43279136995111,0.0,0.0,1.0,0.0,177.0,185.263983558863,97.1,4.575741375297279,1.0876673951475653,22.407314729061774,0.04600264061343271,26.53217560006509
Alimentos e Bebidas,Consumo Nao Ciclico,2326,ABEV3,Tradicional,80063937432.0,16870678896.0,14721695908.59,22941134488.0,12886672394.0,47646859962.0,2614552542.2,13195475705.0,8056853900.2,3126909000.0,42669033424.0,252411736538.9,20489831178.0,2179639121.6,4647348513.6,12861606480.0,1089860213.8,2012,0.109074534140363,0.240147965376192,0.496299701231574,0.122620367912597,25.1060913703157,0.456423554659454,0.182788488046981,0.111606445705853,3.60011701480093,9.40056130161543,0.188822039162206,0.183874243270804,0.345020609262489,1.01554337336082,0.17816361114163,0.0643767475473767,1.1226203679126,117.530190149943,1998,14,0.160954766994128,1,0.244008666995311,4.76669523802776,-2.42429471010044,-1.16454426387967,8.04039108754686,-4.43710992264084,0.0,0.0,1.0,0.0,182.0,185.783740228544,97.65,4.581389657322688,1.1447121629807497,21.83808826310969,0.5844939238141881,26.629214433811153
Alimentos e Bebidas,Consumo Nao Ciclico,2326,ABEV3,Tradicional,95854449004.0,19454172462.0,13308806053.0,23980469545.0,10462889729.0,48561445259.0,2920278385.5,15752642986.0,8062619942.053,13044497000.0,59793900531.0,252411736538.9,20780218551.21,3483775205.4,4039490500.9,15067954471.36,4591352022.7,2013,0.197223769882804,0.202701552771917,0.43019816884791,0.0191950801737914,25.286096721678,0.365496188506242,0.196750790571336,0.100702266221927,2.99261118073851,5.96485631994848,0.134840173838015,0.138843905434631,0.222577987634376,0.788871991165423,0.188199018867359,0.0504533080743228,1.01919508017379,137.888738632202,1998,15,0.109153929084329,1,-0.0341911302704274,4.92644711817385,-2.43300365013141,-1.19490118763897,8.25777427509967,-4.20243936459968,0.0,0.0,1.0,0.0,213.0,198.912914320362,91.5,4.516338972281476,0.998598480502575,22.249505114692322,0.09456354740529065,26.749450117594655
Alimentos e Bebidas,Consumo Nao Ciclico,2326,ABEV3,Tradicional,94632979945.0,20646832011.0,14721695908.59,28628396939.0,8754212708.5,49950701868.0,3138343630.0,12752804604.0,8062619942.053,13044497000.0,55383668760.0,252411736538.9,20780218551.21,3474304651.7,3440194217.1,15067954471.36,1438139683.9,2014,-0.0127429563436229,0.186324575689175,0.389993474856238,0.0286082220492094,25.27327187746,0.402976278549056,0.13304342924623,0.0841131530756235,3.06229758753055,5.98111583019702,0.14557757047464,0.155566229840233,0.265812941580037,0.756737195444628,0.157196193060702,0.0358897709271318,1.02860822204921,148.63472366333,1998,16,0.0925069961189839,1,0.0432976197801332,5.0014917770144,-1.54240536854751,-1.18562178263161,8.19934429616843,-4.16557542165523,0.0,0.0,1.0,0.0,229.5,188.863651308453,94.65,4.550185877655332,0.9319008331651059,22.757717250980196,0.14308378733412286,26.845616092440807
Alimentos e Bebidas,Consumo Nao Ciclico,2326,ABEV3,Tradicional,106879780520.0,22685448338.0,14721695908.59,35725167297.0,11497568243.0,55374217734.0,3644138773.7,16143054037.0,8062619942.053,13044497000.0,57284506328.0,252411736538.9,20780218551.21,4222305731.2,4266215030.3,15067954471.36,2165921855.2,2015,0.129413662996957,0.194074356455478,0.499009283734334,0.108577370550913,25.3949704932147,0.451860892086748,0.170585920958869,0.0851988381507053,2.8034720002333,4.92153336923429,0.140746956880243,0.137740701159423,0.256992629460686,0.713024443689314,0.1592251927406,0.0450816938532369,1.10857737055091,249.816769917806,1998,17,0.107574774078512,1,0.0190530154683018,5.52072772881606,-1.56196624806603,-1.19663719827476,8.33480137960431,-4.14103365979855,0.0,0.0,1.0,0.0,322.0,162.8670904192295,111.05,4.709980550340436,1.0714316811358895,26.002520226448773,0.5994261003223617,26.882179179270636
Alimentos e Bebidas,Consumo Nao Ciclico,2326,ABEV3,Tradicional,93492681040.0,21358697438.0,13990891791.0,32085880058.0,9385345587.9,50852022686.0,3916283516.0,8783579151.3,8062619942.053,13044497000.0,49985007592.0,252411736538.9,19068855748.0,5127237468.4,6017497099.4,7230114800.8,5449334602.3,2016,-0.125253807734896,0.16754502320155,0.388017503817194,-0.0816660755321759,25.2611489925301,0.453454337420865,0.0821818599230409,0.0754363444874802,3.14337934173762,3.71912864686383,0.161300764578525,0.149646920329669,0.279901763848871,0.616734198176022,0.0676471711077949,0.0563015480582314,0.918333924467824,308.932376861572,1998,18,0.100385885649001,1,-0.0518312764818563,5.73312240783948,-0.93375516785296,-1.18905752674156,8.10193607468591,-3.99644952236573,0.0,0.0,1.0,0.0,354.0,141.2767645736185,116.95,4.761746493030188,0.9605561268387919,27.29967551964243,-0.46820160759382917,26.918250651989343
Alimentos e Bebidas,Consumo Nao Ciclico,2326,ABEV3,Tradicional,94077029571.0,20388118156.0,7941899526.9,31075012053.0,11027566262.0,51883919488.0,3912564848.7,11215899071.0,8062619942.053,13044497000.0,49836193794.0,252411736538.9,17789952081.0,4623364709.1,2765433044.3,15067954471.36,4300692761.8,2017,0.0062502061605227,0.126795640511455,0.450330206029569,0.0202921486205521,25.2673797471608,0.457941490289694,0.119965530416241,0.0862379798329185,3.13056562475359,3.8478366298866,0.161782418123266,0.0844191144545677,0.159360073919934,0.371834450577042,0.161167209066486,0.0295791393886419,1.02029214862055,346.490038553874,1998,19,0.117218478435031,1,0.0039908147922703,5.84785406945444,-1.35737665137494,-1.18314468620739,8.07088173569345,-3.77787841827024,0.0,0.0,1.0,0.0,270.0,137.7487550487655,110.55,4.705467907303455,0.7414824023539944,27.51688965041178,0.1186655238886699,26.98964004796001
Alimentos e Bebidas,Consumo Nao Ciclico,2326,ABEV3,Tradicional,98275412291.0,20982913032.0,11510668543.0,25922855756.0,12268323397.0,52445636889.0,4200398517.5,11968832634.0,8062619942.053,13044497000.0,58824233860.0,252411736538.9,17739431386.0,4763364433.4,2529568610.2,15067954471.36,523330472.56,2018,0.044627075696852,0.167002159104554,0.405956473404351,0.0108264257315779,25.3110397035241,0.393660944863291,0.127223751521269,0.0857023226479332,2.9570256579683,3.72413902694779,0.137062897601723,0.117126637015942,0.195679021853392,0.56457729227023,0.160166137686014,0.026888270407081,1.01082642573158,165.088276545207,1998,20,0.124836142744155,1,-0.0131575539063948,5.10648034019899,-1.63695327436378,-1.18998237983501,8.09365916605779,-3.93677888720892,0.0,0.0,1.0,0.0,266.0,143.79987063467848,113.6,4.732683506287051,0.8527932422381888,24.16735528123885,0.055284930152927014,27.043394718182963
Alimentos e Bebidas,Consumo Nao Ciclico,2326,ABEV3,Tradicional,101842599740.0,22598412159.0,11791503305.0,25035530945.0,14189791095.0,52651229655.0,4679807318.3,11912322530.0,7879047861.9,13044497000.0,61338045940.0,252411736538.9,16068295262.0,4753084021.5,3065803972.3,13659288984.0,2612660559.2,2019,0.0362978629734701,0.167603576920414,0.399136682569708,0.0039201119138877,25.3466943185602,0.390055771081584,0.121213661202731,0.0801731346450078,2.8636057928945,3.38060408554046,0.128452867077102,0.11578164083697,0.192238000482348,0.561957402531163,0.138989892441804,0.0311960428435747,1.00392011191389,158.080664316813,1998,21,0.139330605573954,1,0.0716375825140063,5.06310543639972,-1.44970347668949,-1.18241070329991,8.105047540998,-3.91668288810578,0.0,0.0,1.0,0.0,242.0,148.2165749210585,111.95,4.718052343044764,0.8485945814657868,23.88799646728838,0.01984793994250013,27.083622444181714
Agro e Pesca,Consumo Nao Ciclico,2003,AGRO3,Novo Mercado,1077912660.3,21584537.232,20361989.989,148621535.18,82107278.058,164610738.29,40392842.636,65893374.602,0.0,58422400.0,847183847.02,863653494.95,26925605.174,36295018.02,117466537.42,82011189.097,258662613.36,2012,-0.0630188466328938,0.0528114523951825,0.200562213902002,0.273473464466424,20.798292286021,0.214051492059454,0.0572781565777781,0.0,1.01527920442405,0.741854024129783,0.0,0.0188902039459606,0.024034912918399,0.7757605728648,0.071288650165523,0.102108395018943,1.27347346446642,117.530190149943,1989,23,0.0761724776802865,0,0.0596562042925564,4.76669523802776,0.830687101722034,-0.921817719140084,2.35212395183723,-2.75747622262518,0.0,1.0,0.0,1.0,182.0,185.783740228544,97.65,4.581389657322688,0.25173609864544616,21.83808826310969,1.303564660799057,26.629214433811153
