"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,4.61229240454426e-07,1.13380890492266e-07,1.49524931689592e-05,0.0148915569440113,0.000103436880169615,2.27638332925956e-05,0.0507350414416503,1.07661351569765e-08,0.0594909589503548
2,2.76535843636484e-07,7.26805325139406e-08,1.89357619700945e-05,0.00403814385645707,8.32826029765656e-05,6.48176383997797e-05,0.0623920950840014,8.18206388864777e-09,0.0583999953572486
3,0.000701680486057755,2.66466018076044e-05,0.0122429900795892,3.1692371106875e-07,0.0022807865833289,0.0275974268839388,0.832155618719593,6.57567651921647e-06,0.311360691811003
4,0.0013278504907958,0.000149182467115213,0.011748325990509,1.56609579129724e-07,0.00211968667913457,0.038557484077167,0.772267377446722,5.78769584522126e-06,0.33850282958623
5,4.15677033517299e-07,7.00908338939626e-08,2.39340437511925e-05,0.00391499984263244,7.56972542378227e-05,0.000134098257639545,0.0826799240774548,5.66709772325747e-10,0.0615336744421586
6,0.00764813639683015,0.000959671814791571,0.0406775401183513,1.55544000714204e-07,0.00665030299569085,0.120584486455546,0.621887710936605,3.25807185962035e-05,0.419233547102811
7,1.53244707720628e-07,2.32902430509372e-06,1.19640627508231e-05,0.0175048164273773,0.000587175470042652,8.58490683828007e-05,0.144240209862148,2.05733710298843e-08,0.0555412716143977
8,9.90255801186412e-08,2.22752495629996e-06,1.60806885385288e-05,0.00643748271268833,0.00059371049870995,0.000218365856822996,0.174626138087542,1.71272448917217e-08,0.0540423865642624
9,0.0004018899392707,0.000107591946483211,0.00931420066339548,3.30645130868554e-06,0.00825039394654407,0.0354308682232656,0.782761013240964,3.21300964082493e-06,0.287405668325779
10,0.000784701794056226,0.000502855121227924,0.00907949513332311,2.5418265666256e-06,0.00733927072885936,0.0502449573857272,0.720245476696226,2.84098487948936e-06,0.311699666023339
11,2.30216837822621e-07,1.217002911941e-05,2.18322753621699e-05,0.0130248408091771,0.000780176756905133,0.00032907152756786,0.216752591399205,1.01565379562757e-09,0.0565993600314227
12,0.00583760816484123,0.00230004153502088,0.0351915799966254,4.18128739846973e-07,0.0188687030440357,0.143057035838861,0.583326968049042,1.32542098074276e-05,0.40408285829139
13,4.64635710957111e-08,8.67362655498923e-07,1.48306467221142e-05,0.0301014865272207,0.000991422460167668,0.000258499670110091,0.253591195677473,1.4965594749706e-08,0.0640875329895424
14,3.28160486424754e-08,1.22640724812464e-06,2.23060259414584e-05,0.0227957961407792,0.00131899363190124,0.00041244559481375,0.281975625737252,1.00781148309015e-08,0.0605895785256823
15,0.000117012210879828,5.40803990527972e-05,0.0100870501215262,2.62468105109683e-06,0.00795441195089204,0.0320458122986263,0.623660751136595,2.8679141774568e-06,0.303231905108813
16,0.000211343136871818,0.000308536633578806,0.00955719284819799,1.58262065675234e-06,0.00700206160633303,0.042321361215019,0.566862756082248,2.72888254505596e-06,0.323342683422472
17,4.92095694973257e-08,4.83481867418345e-06,2.62564578274219e-05,0.0336991289040326,0.00148215378106651,0.00079307022987931,0.345681525937071,6.41265392731491e-10,0.0635401708088097
18,0.00234863378010027,0.00129480517733112,0.0407783492082661,1.98185902318589e-07,0.015964186644849,0.128988038787182,0.432689028812207,1.23953696114992e-05,0.411983046805754
19,1.36297467266989e-08,1.96501635046245e-07,3.47100426368873e-05,0.0483619926560349,0.000106692439830514,0.00115984296135775,0.811816273202627,1.00408006588696e-07,0.0763008418984783
20,1.16826958635286e-08,2.63214615987354e-07,7.31378764967326e-05,0.0882192124913682,0.000185726752972994,0.00150881490741664,0.87152266198276,5.86461222647237e-08,0.0729621454774552
21,1.05427157932577e-05,1.51085052401581e-05,0.00950057003335541,5.6487422991337e-05,0.00317045582770823,0.0307919359052775,0.320856119818201,1.88421881102868e-06,0.290716449421137
22,3.44917334262742e-05,0.000106873088811931,0.0107359329131275,4.98486111119815e-05,0.00325306135597822,0.0428172176324453,0.274791678955635,2.05743217154983e-06,0.307634341003153
23,7.91793376547478e-09,5.39252005556711e-07,6.13698371929732e-05,0.0853995339349541,0.000152791531860374,0.00258639787811267,0.958568336371081,4.95612743850772e-09,0.07484611820896
24,0.000449680020142241,0.000498417978351415,0.0423200745196632,1.43272821241598e-06,0.00896368193416408,0.123942417072236,0.205582866092197,5.95170974293211e-06,0.40916511518616
25,5.59344176755276e-08,6.3305752940651e-07,2.83018397029698e-05,0.039828077907754,1.67674541435453e-05,0.00122267457200673,0.820226971449316,1.25040470468449e-08,0.0818070395976539
26,5.82234510564243e-08,7.63823111020916e-07,4.98777523760412e-05,0.0824016529557799,2.63792810977719e-05,0.00170119521326632,0.8781684832876,6.85429355477307e-09,0.0785322259672319
27,5.44656090748515e-05,3.69026776271382e-05,0.0109278978951235,0.000119151948823803,0.00315553888102214,0.0513955855691715,0.316122732514621,2.72671683575937e-07,0.276164395680921
28,0.000136607521870164,0.000143879582770679,0.0104099036529439,7.74557049323793e-05,0.00310800698182144,0.0678347126580405,0.269896584251191,2.82418152243644e-07,0.302406746677258
29,1.26044725282663e-07,2.60520081267721e-06,2.68476514253578e-05,0.104196543416389,1.68518115784121e-05,0.00230928849676157,0.936130187741393,4.90536446188187e-10,0.0824469797760412
30,0.00224948765254542,0.00095995644597752,0.0465275798052914,3.85736631717181e-06,0.0101031090827952,0.165309300436274,0.24370058241183,5.30154290705873e-07,0.399575915226885
31,4.18583137184696e-08,1.07312545107504e-06,2.39005033044216e-05,0.0247575880895151,0.000513955504136578,0.000867631640805364,0.448259095259184,1.7643201315022e-09,0.055710678388334
32,5.23011769052253e-08,2.51431084920632e-06,4.68100725862539e-05,0.0322234523211047,0.000831122183102975,0.00130323473331538,0.500760267427866,9.3608639616918e-10,0.052748740659426
33,0.000241051302207878,0.000135941967415196,0.0129325220969438,9.87188949567213e-06,0.00967335404356714,0.0476407540318592,0.494959578381915,3.01969859500939e-07,0.294170119893406
34,0.000685305415543828,0.000675002204106498,0.0113569582881388,9.00360740405248e-06,0.00949277981525814,0.0580636551918856,0.452602448531559,3.0215570492837e-07,0.326002297842561
35,1.81175571380287e-07,1.56834771153556e-05,4.7551547127306e-05,0.0452123584851143,0.000938788694351841,0.00180367179793559,0.568555135528586,2.76620025846671e-11,0.0535535026057861
36,0.00560248291997668,0.00239257504395996,0.0477272464102967,3.8583028960689e-07,0.0203188621722047,0.139324379328545,0.373416658196302,9.54746758937272e-07,0.415427139620907
37,7.22384162589702e-07,1.84360684136178e-07,5.28271754242417e-05,0.0213717386779448,0.000141469183504925,2.0003057735406e-05,0.0688266930059131,7.7805570290598e-09,0.0640845896306238
38,4.266795485612e-07,1.25446144678083e-07,6.05856809675467e-05,0.00557834864024957,0.000112283913544336,5.89999074624175e-05,0.0847743877488392,5.49852260407972e-09,0.0621871315332273
39,0.000497331769521403,1.24963491558537e-05,0.00900816239016874,6.1374685679744e-07,0.00172424787706205,0.0211744428117976,0.910532454458899,2.83716456086954e-06,0.291871131844095
40,0.000812948192040776,5.98836627432833e-05,0.00943370826003217,3.53771478808066e-07,0.00171788580244974,0.0319489258531423,0.841796475237908,2.29474009477345e-06,0.314166921062653
41,1.03938506938327e-06,7.59242095170299e-08,4.24284054020547e-05,0.00656163564695797,9.84357619024399e-05,0.000126974788356656,0.0792872273218658,3.53633381223131e-10,0.0667161435280718
42,0.0113864712771493,0.00119361821540705,0.0293667343564191,2.42188564959262e-07,0.00619333407774192,0.0813009615244165,0.722264914659488,1.65224117090261e-05,0.413584983293862
43,2.76371367279641e-07,5.18346483984822e-06,5.36805378143866e-05,0.02263102869375,0.000813867835178611,7.7788336917208e-05,0.190700855303574,1.33944336817888e-08,0.0600765294146546
44,1.72672134722908e-07,5.58323629184619e-06,6.2902204350689e-05,0.00736507485568149,0.000826929635995443,0.000211936017300022,0.227975633605884,1.05481410842772e-08,0.0578428049738768
45,0.000249448255205754,4.79539085466477e-05,0.00686863980733389,5.2322740377195e-06,0.00767982388419414,0.0290832878893947,0.850691157136727,1.30869443992714e-06,0.267186137140429
46,0.000419729297759501,0.000215068147507666,0.00734271302996818,4.18082584992003e-06,0.00727098551127773,0.044843885422344,0.780897908317883,1.06551242718235e-06,0.287375580512888
47,5.74462426637966e-07,1.49716745128812e-05,4.90016803445408e-05,0.0151216166994198,0.0011852010812322,0.000337297703323242,0.215397119204908,5.00692433615882e-10,0.0620135860200284
48,0.00793427011490438,0.00197738889993712,0.0253114883440717,6.72407079069674e-07,0.0193859983157072,0.102921862240121,0.67730867881109,5.84825794708448e-06,0.39479461196427
49,8.96510291605128e-08,1.02886340326782e-06,6.6756070357581e-05,0.0385714483588976,0.00152296391525511,0.000240572860288964,0.337138696641311,9.61521056901669e-09,0.0704818450898355
50,6.7407636065766e-08,1.49154283007142e-06,8.75575808593878e-05,0.0266734263884518,0.00197640930327513,0.00037396176585317,0.362666317309,5.88759741589351e-09,0.0664395636091404
51,7.42399448649394e-05,3.05829356850324e-05,0.00717616026924742,4.88921804304599e-06,0.00761894463438395,0.0230767838960433,0.697663168445598,1.216083953542e-06,0.284173746033251
52,0.000108791209499012,0.000143542820799889,0.00748731424966124,3.24642451695682e-06,0.00708759928029807,0.0333360361601813,0.634873994018765,1.04838312291224e-06,0.300435276147055
53,1.35683810551791e-07,3.78647317286108e-06,5.73802845977936e-05,0.0373234479441017,0.00217469030619039,0.000645377943449936,0.338788166108978,3.09138564127665e-10,0.0711588366133913
54,0.00318933106961351,0.00157622682880677,0.0284279850346675,4.61477470698258e-07,0.0166038807197186,0.0810606340071074,0.520017465801137,6.45759242090182e-06,0.402515840200822
55,3.98723641300241e-08,2.4973319800677e-07,0.000125753520535141,0.0561836739960744,0.00017228154536592,0.000822100443948604,0.919752467159119,5.73557807068535e-08,0.0850053948390586
56,3.87603238025259e-08,3.562717539966e-07,0.00023291992345521,0.0908483247952931,0.000287074700239038,0.00106593357160726,0.968954091579754,3.15033618993414e-08,0.0814079927438976
57,4.63373597463169e-06,8.21831454558316e-06,0.00679112512402522,8.97907596639657e-05,0.00267840727672648,0.0205092893638768,0.377070878369342,7.46357638473697e-07,0.267189087593109
58,1.2107965402303e-05,4.55223860091153e-05,0.00851836681818785,7.98854673254802e-05,0.00300070750200106,0.0321454251960905,0.328711925739096,7.39115950732881e-07,0.281090837320498
59,2.26262882713025e-08,5.5949499013316e-07,0.000154507787028082,0.0833375691296259,0.00027581669948091,0.00184890409794653,0.930521257465457,2.23493983704612e-09,0.0847765954703584
60,0.000329398470415484,0.000345766813665803,0.029597691603696,3.01945037555513e-06,0.00802683472768413,0.0844282702322735,0.253151482607606,2.32862179518537e-06,0.390709014232216
61,1.21835231452752e-07,9.55003183970447e-07,8.38955142418211e-05,0.0484125437050469,2.45178048642806e-05,0.000789227106456563,0.912207290900321,6.10908106323777e-09,0.0903373362198344
62,1.36452829414532e-07,1.26282918638833e-06,0.000136129657331263,0.0866515406372223,3.83500461801375e-05,0.00109904239234186,0.963051271378247,3.09866285261261e-09,0.0867033726676575
63,2.58280537493825e-05,1.67909089558515e-05,0.0076450350562063,0.000176108727307073,0.00243813041671063,0.032034229781617,0.3671618612832,9.25299936801133e-08,0.255098847224788
64,5.15640066774065e-05,6.04551529457862e-05,0.00797587859148584,0.000119737768329852,0.00257657897021929,0.0468118333975706,0.322573197396541,8.46040146439503e-08,0.274958935208193
65,2.56058267814816e-07,2.60904572340592e-06,6.79036154668861e-05,0.105486478487032,3.39205590674173e-05,0.00157268112603047,0.903111501183618,1.92085237595247e-10,0.0933233884569294
66,0.00173933848815874,0.000534223868147222,0.0334434079454508,6.39752900866358e-06,0.00858820744454651,0.110703132813263,0.286302808947651,1.85630885918607e-07,0.38246996979075
67,7.99767000590109e-08,1.20928494299026e-06,8.76488877805545e-05,0.0326740828952567,0.000915347551508526,0.000784668301693026,0.536893166074328,9.86653758668537e-10,0.0624767359546102
68,9.77050670282136e-08,2.75486309758711e-06,0.000151265828341538,0.0375303673614395,0.00140847285072968,0.00118578935754286,0.588767325133401,4.85921457429649e-10,0.0589925700485902
69,0.000158723527710968,7.35085566608814e-05,0.00914902303877829,1.57993886916094e-05,0.00943542172764108,0.0322801543411996,0.561911552892391,1.11461395316608e-07,0.274577680114148
70,0.000361444077572138,0.000328577308717298,0.00880616694141835,1.55616968465388e-05,0.00967442322244354,0.0436249809630177,0.519458160382511,9.53703266374041e-08,0.299082859052151
71,3.97291775388866e-07,1.03474125228766e-05,9.91796143760874e-05,0.0473637959002058,0.00153728547064387,0.00155857935992531,0.555560129296969,1.20342044399559e-11,0.0610817970793225
72,0.00594457660222012,0.00217444652581968,0.0346531028244143,7.06187151212622e-07,0.0209348302215509,0.0893959028792373,0.448781391536808,4.24933874517879e-07,0.401790612850768
73,0.698031587123379,0.281400803295824,0.823265473637039,0.644836631321802,0.905168423511031,1.00861813326035e-11,0.9390687173226,0.000771206806583379,0.728578363887753
74,0.763170820384448,0.25753761017612,0.772667706056911,0.924828779158711,0.947966702850177,1.44856642632358e-11,0.839279449938059,0.000600773470425033,0.718308356803725
75,0.878439853442964,0.125834189059793,0.640591286473187,0.612733650907977,0.952276063762806,5.79678869568679e-11,0.608642647075531,0.00048439879449885,0.706059926683284
76,0.821825725143822,0.162084710068587,0.546575129187595,0.566751530869235,0.823170459009887,5.16536354049292e-11,0.550438530799092,0.000681263623422786,0.717192511839906
77,0.91921008551735,0.246601062176157,0.509701628612418,0.865912357680195,0.975747535816797,9.13287134784725e-12,0.573362169865593,0.000193079329646632,0.710583556950366
78,0.950316392783126,0.0902652381994843,0.48425465605507,0.352816334355731,0.906891465062445,2.06783287831491e-08,0.316294520682378,0.000179101954599224,0.686332610554069
79,0.673111420711376,0.299058719607255,0.828882519408648,0.658561968216939,0.984710864908872,6.14704035236584e-12,0.908830534947076,0.000482179331546878,0.738110700916659
80,0.751712400218779,0.278344820575101,0.77572713994662,0.936170702879718,0.929548723894448,1.21106309891756e-11,0.803745033081073,0.00036522641348738,0.726056576662536
81,0.883867274623934,0.165138128492964,0.644344765173345,0.650832479267894,0.907992982738039,1.92381985925219e-10,0.60554516232155,0.000258098555892661,0.712596589415366
82,0.871391087566253,0.201600674805653,0.542780379064078,0.608980876230867,0.975851387121488,1.77879274549145e-10,0.544629563532705,0.000381276905222108,0.719024136623372
83,0.908438564188608,0.27435569029237,0.501721005971237,0.869599421846112,0.870349122263131,1.11820012260316e-11,0.545947062468379,0.000116837917744025,0.718361969333119
84,0.900443474629196,0.111318733366375,0.452669170716317,0.403495091214213,0.778601524901878,8.31253780614151e-08,0.315903308523246,8.51021798877966e-05,0.686584379496812
85,0.862221941494091,0.263671280967676,0.767067874526564,0.762073599281607,0.850010848501842,1.69213453222008e-11,0.79570521771328,0.000505731967423443,0.718431815692087
86,0.923426770336563,0.252220664607517,0.728184082992694,0.990605460010322,0.810999706839341,3.3884812419974e-11,0.715482990500592,0.000374336274234662,0.707483729603109
87,0.944276076023206,0.144788923907932,0.608566395535839,0.681345641662336,0.791367575558878,6.10054928716255e-10,0.564218491542229,0.00024767653063138,0.686640650059128
88,0.996908506581552,0.185560691052728,0.514240910275864,0.634859713524053,0.910550515398701,4.31516456230196e-10,0.513315411970029,0.000291162569130123,0.699468684123824
89,0.94825330797253,0.277858921316878,0.430367735289944,0.912453183028048,0.787992000049442,1.5316159973743e-11,0.447329012375272,0.000118317494389366,0.700822144136095
90,0.749243838871489,0.108360106184377,0.427742328752133,0.397343572504616,0.689571352967078,8.08761043021231e-08,0.280347742147131,7.89614271987966e-05,0.659510605739374
91,0.959775807103766,0.266218780139452,0.773166714957846,0.826568265291382,0.629634486520564,3.12655410037423e-10,0.685572911524386,0.00026012233029977,0.699354577837486
92,0.984232294544508,0.256124930013969,0.734292439824769,0.956257673643443,0.608177385908625,4.87664261237723e-10,0.616432918692977,0.000196220052998334,0.685908712013628
93,0.897197052245366,0.191842675838176,0.667726398432736,0.854748990388377,0.629751405761585,1.46459436871443e-09,0.614693390006553,0.000118108426636612,0.669561487363596
94,0.819107955837856,0.161179500497035,0.483185791404117,0.660100559874197,0.682634729814146,3.87729083019293e-10,0.449759428853329,0.000215762267130202,0.660411105739541
95,0.738586527405045,0.201311910047208,0.420318942088989,0.911693706120446,0.565354964269843,1.54035686508846e-10,0.349482777504235,9.05770234221367e-05,0.645441232548322
96,0.61542776680574,0.11594844376345,0.436964005596471,0.495992850239475,0.532375827504232,4.73032585909123e-08,0.289682640970883,3.9035711452437e-05,0.622201743320306
97,0.482357984377175,0.790942985407824,0.559464836498023,0.535912876944525,0.874427851001352,6.53672780612697e-11,0.733777691307121,0.000714065939658858,0.788693650219321
98,0.517349400580429,0.773434600910711,0.521431753441005,0.732888201304519,0.881417895141161,8.64392267065774e-11,0.661210602262056,0.000614987833166626,0.780735894902723
99,0.529470132217416,0.723837642113379,0.558417530875688,0.774657976069582,0.861058022084766,5.57094497724067e-11,0.815491295767823,0.000412167723087292,0.775111707380949
100,0.762782867755197,0.483789950341683,0.534792937511959,0.841291225587024,0.994316825811694,8.28741596187444e-11,0.729268870217644,0.000678878783256767,0.747536064840883
101,0.896170168602401,0.415628561039932,0.340967238828035,0.875975916125949,0.799758772500165,8.00508204736275e-11,0.362749871160424,0.000456481961237966,0.736752219677098
102,0.971416923134275,0.276398216801594,0.442972970996556,0.81253747579511,0.78213085708039,1.18026370447557e-09,0.483600049937269,0.000136306180430442,0.717411543667193
103,0.570722682279515,0.597189391089165,0.557670229704087,0.574661493209117,0.916587495449709,3.7497064881859e-11,0.690099224214607,0.000931267647210763,0.784999802878739
104,0.612317286022741,0.596529963491685,0.514609978271385,0.793317260677761,0.915681700211006,5.8972028842034e-11,0.613065396720966,0.000822324588264004,0.778473324233064
105,0.656026515368749,0.521924821937597,0.557484788313458,0.733490696304033,0.882939507044494,2.75765056105708e-11,0.814187140560361,0.000580130566990717,0.765520870207037
106,0.681017006304305,0.508712314286518,0.512767878223044,0.805769491017594,0.822694621418498,5.69362355084086e-11,0.757761805011509,0.000841047589499049,0.765773103301906
107,0.860317615009695,0.39017539694547,0.323613966474204,0.832443499831361,0.844026159598651,3.06545888691782e-11,0.349523144916049,0.000548544644255584,0.756659046706745
108,0.993453984938253,0.226230783829415,0.420740262834367,0.842984614657865,0.860353414800706,3.89817173557141e-10,0.502403040927329,0.000184580025429311,0.730204006026141
109,0.624012281836237,0.293911904575604,0.871089853039244,0.542568443295089,0.780630568844345,9.25437690682903e-12,0.969389748085963,0.000755596522933764,0.718418310298525
110,0.687782218059835,0.270220044532319,0.823785945629446,0.797743861427608,0.827956946252597,1.37059552528969e-11,0.936349364032011,0.000566919913617539,0.706568592831733
111,0.810314329292078,0.188805205364977,0.709168959568955,0.796762684852304,0.857634436723737,2.52865590956969e-09,0.733851551446187,0.000368634544218522,0.68035346408077
112,0.825401620809752,0.18373423676042,0.605793964774161,0.654893188979326,0.767104806440709,8.21708894801494e-10,0.618082882855964,0.000482658486493801,0.674940716466692
113,0.91380744682052,0.222390590487228,0.581703248469067,0.791371220309532,0.948668681064044,4.83847937202433e-12,0.67155857068498,0.000169479769967432,0.6795612142076
114,0.892591003305886,0.107270714968018,0.570714989125687,0.458132073622895,0.939104981413855,5.82152763493844e-07,0.388268644142461,0.000117596820525011,0.622605926946158
115,0.624687843854707,0.299289639984105,0.872385828869925,0.582478743041607,0.925585940228513,4.7891316721136e-12,0.984442822251866,0.000426142614810956,0.725230527413615
116,0.700537235011627,0.278920132603305,0.818773686133425,0.84535772515744,0.986341399774973,9.70980647789211e-12,0.880071437772514,0.000311213499158154,0.712451739648742
117,0.83737763369292,0.206936635467768,0.705567708894905,0.779898639550296,0.970712304434227,5.34535375120787e-09,0.689417768352966,0.000191913787992377,0.686067978679213
118,0.897078279763841,0.205455286428456,0.588784652414343,0.627764854573982,0.960426052254048,3.2657748687007e-09,0.559645980717745,0.000266173840164166,0.673643451118208
