"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.582791968798979,0.68974781997794,0.0670540864542354,0.146294618842014,2.25607119080998e-29,0.283632401701971,0.0282419978190085,0.100600953546875,0.181907609378906
2,0.427946981815538,0.433227483601652,0.0339506197238205,0.021791575005712,4.21628795712892e-32,0.370385117781669,0.0575349777085952,0.073301721523579,0.221696771600775
3,0.402264270272656,0.317639616435867,0.0239704457580592,0.0230387543021705,1.90966025103575e-16,0.405713757192684,0.208260833736269,0.106279247542297,0.376642802191278
4,0.366882948996345,0.263922293519782,0.0193811025602143,0.0289574186043227,2.83681745195672e-16,0.430592401179336,0.199126354670745,0.113167820136477,0.371700477092844
5,0.60371822696753,0.530768766672842,0.0420582053344104,0.0521483702755317,7.48213411734164e-29,0.279738591597494,0.0280511021378296,0.0548350293683256,0.217080237451489
6,0.656944050338256,0.545565073314481,0.0440860403742179,0.0337230849277958,2.05060450222624e-18,0.336889329809158,0.170160384964458,0.0857248198621044,0.43745872108159
7,0.376601331815979,0.323084614237002,0.0739723982438411,0.143603724230476,4.2483594411616e-24,0.394100744758843,0.0126635407173835,0.0717154818715082,0.131104711432875
8,0.25957375854295,0.189470282390312,0.0372719850989114,0.0172526334071986,2.44371788811237e-22,0.492789549557806,0.0309157635456207,0.060397635162786,0.175213216220968
9,0.24767961132262,0.163114724521757,0.0315820096556038,0.0314745175161835,3.75407860733068e-15,0.496748718019242,0.0944949987197695,0.0710670329854171,0.258396572621956
10,0.194941719923653,0.121393918731354,0.0265500508659512,0.0344869415131802,8.40243682150518e-15,0.516285698116495,0.10556164481523,0.065359915893356,0.234609066695053
11,0.391262725707567,0.232175751548103,0.0544565458679121,0.122393372176332,4.18874940718079e-20,0.40469814170669,0.0109514494285337,0.0296248942032325,0.148547093223978
12,0.468002417386015,0.315938130751936,0.0793555604413147,0.112953829396225,1.06619782955603e-13,0.441198286931201,0.0672639175256456,0.0454112972864614,0.291148417602596
13,0.411567030809299,0.89418520792773,0.138241278519923,0.140252275953831,1.47712571718125e-22,0.344822206110974,0.0072624480900793,0.0730445484227576,0.0935452289562282
14,0.319657689656726,0.615696046470563,0.0784239707447403,0.0226614602000146,2.82376922385082e-21,0.417589708193163,0.0208034468960461,0.0629795018005396,0.118176538314197
15,0.295260202733446,0.526380706485404,0.0720757712032144,0.034027074870659,1.49540210373711e-15,0.423887417284446,0.0614259627128194,0.0583887954465731,0.182523397594293
16,0.207533750038591,0.3954009084641,0.0638703352547473,0.0369115242571972,3.96930071685464e-16,0.44895049140979,0.0611384497417737,0.045789553432514,0.156852121918309
17,0.368058183344968,0.681703609244396,0.100798967915315,0.221187488167604,3.52879150370296e-18,0.411684712292439,0.00664103530162402,0.0249344982752289,0.0890756196439235
18,0.528314393739916,0.860008974937684,0.142445045086464,0.127101566724148,2.98772608112216e-14,0.460411061049657,0.0250977068090369,0.0270367663160458,0.193869871735687
19,0.514945542871315,0.726327830075083,0.266359645650598,0.131309467357721,2.76674222923914e-24,0.311864701504174,0.000994523144385653,0.0696498841397092,0.0941709637109566
20,0.410084375660435,0.961002784066562,0.184389910236609,0.0256032840906636,8.45269829219289e-23,0.39073202417556,0.00358692339819682,0.0518623087660873,0.106852249767658
21,0.411053777093367,0.838299323851811,0.178137480141232,0.0286000133232206,5.32655363918073e-18,0.3754005341506,0.0142173699375152,0.0450274168227837,0.148925928073256
22,0.314446812739128,0.687857302072059,0.146558143082001,0.0326213487548514,1.24334811094312e-19,0.381972929617847,0.0111588318261204,0.0398579494375495,0.126532963702488
23,0.451560240352497,0.995812601686953,0.244427765883752,0.285757198719742,8.61322933193027e-21,0.3663484245826,0.00206332726795079,0.0199028936308939,0.0807122712729073
24,0.579508000123693,0.861387782332343,0.277487343432788,0.189469303806319,3.82726851580706e-15,0.423377825408267,0.00798741760000429,0.0183261506616919,0.147431149351023
25,0.448759359666546,0.675474046752347,0.296684043454047,0.131220386410429,1.01119077906433e-23,0.346637221377359,0.000392513103049607,0.052535076900629,0.0860865822863122
26,0.383650347017115,0.950421010483478,0.176582079990461,0.0705321380823237,1.86069963918643e-23,0.352916408442975,0.00241523899876385,0.0375643128311899,0.0906042589622568
27,0.389851979240642,0.886800169992618,0.173775886817337,0.12235243933027,6.68263472918942e-18,0.324787944859032,0.0299250582103464,0.0254694592185307,0.152956715072375
28,0.296303373144635,0.66520858339481,0.157128576561994,0.140918441381598,6.04904132965521e-17,0.361841234092632,0.0366440534999714,0.0194757481326016,0.146274854108264
29,0.413123779053548,0.897153713271703,0.268988926856403,0.355874926004566,2.96538388418514e-21,0.403548028328825,0.000451385316590817,0.0125144308484126,0.0733433278494624
30,0.493733809682856,0.730337380056599,0.258346667802332,0.229492704685748,1.4207336961526e-14,0.446059648716282,0.00651019120200884,0.0140891977618808,0.134061563740211
31,0.471300259515216,0.902750630115727,0.174532185081644,0.123070988423374,2.16289746362746e-21,0.334934886402301,0.00223906984935328,0.047320339123834,0.0911949124248673
32,0.376028837692859,0.827127354442755,0.113040577108635,0.0659400644021738,4.00317100876463e-21,0.374157243332064,0.010490715312855,0.0346083294005416,0.0989432734310864
33,0.346841537766792,0.686536878860743,0.120824274826237,0.118592002744878,7.13326393500286e-16,0.3841732558397,0.0571862537431779,0.0217701142448143,0.134107450227752
