"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.0406249656277485,0.0218057389427556,0.00566247864699169,0.53862301099374,0.0123466742323848,0.00573948908901086,0.0340471802297752,0.00968131699989947,0.447015212791527
2,0.0333585770990361,0.0206101629326022,0.00660073672663385,0.399715423584884,0.00865036756151546,0.00573206150859875,0.0463281906601445,0.0089712378191868,0.431501359390124
3,0.0327961529943683,0.00856928507104256,0.0306657059152442,0.183680489668014,0.002503917070676,0.00864092824602033,0.361882992378328,0.00958826367232426,0.384368055060468
4,0.0242997641584893,0.00932356927554677,0.0266077868843572,0.156002649993185,0.00729680879981641,0.010604926588557,0.372078316115068,0.00907122558798806,0.388274552415158
5,0.0336653139684156,0.0472065113911068,0.00692489122456892,0.384892652236932,0.0247665358576921,0.0137071592410473,0.0554858344947418,0.00249099031550161,0.41231553931634
6,0.030652525775758,0.00669213006211366,0.162537857758326,0.145511566544217,0.000934279397842208,0.012566307165338,0.857761272184611,0.00985809678351392,0.340599341357044
7,0.0270827816525594,0.0183193543277271,0.0120678921739705,0.531307318504376,0.0119119644009237,0.0053260916028781,0.0576085086682988,0.0119147930868417,0.434712525532579
8,0.0249829463278888,0.0185109744319051,0.0119441569548252,0.430861446831721,0.00966696972140581,0.00589373176976683,0.0635908355709601,0.00888086145117228,0.425317533828302
9,0.0223275890494573,0.00572478063652507,0.048301636563181,0.138555794548826,0.00179683760169388,0.0105436189989039,0.433205891829537,0.00833363997458987,0.374412628962967
10,0.016605124945522,0.00571635053752009,0.0385724777452507,0.125384043198754,0.00436138558951305,0.0123662786098517,0.426822324990591,0.00688057400919462,0.379007589320726
11,0.0275641515557232,0.0402147645499259,0.00966998275912318,0.423956810061858,0.0245528562336925,0.0130229265564785,0.0609768173892578,0.00201967570922931,0.410043213240221
12,0.0236406088773262,0.00512993189645604,0.192309235828668,0.0998199943839189,0.00125672972559801,0.0151910829946973,0.90977172203311,0.00851555379665448,0.334615122975126
13,0.028296754254664,0.0172147452279761,0.0127451068054841,0.547720040553719,0.0204631028918728,0.00399824972068653,0.0766175839248375,0.00900543957715613,0.403907415681689
14,0.0271358846654249,0.0197005449944593,0.0125525542990271,0.452432917568543,0.0193761302068528,0.00468683264505323,0.0819699767448679,0.00654508974085817,0.399686600336817
15,0.0268398523824186,0.00711893360712109,0.0452844790624398,0.16910225573114,0.0210947459583563,0.0101584092235328,0.430277706853175,0.0058620471749847,0.367561732853694
16,0.0209006375536907,0.00699264183815373,0.0403819615764826,0.156636346444271,0.0164986026274277,0.0122464128956219,0.450528893352147,0.00467465798632407,0.374456650780593
17,0.0296623382408993,0.0488412964006414,0.0124504848394422,0.462355971272327,0.0457026407062047,0.0106275007283442,0.0960095508382817,0.00137224451463252,0.388905639567022
