"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.288437301842757,0.550074158362265,0.0133210820097404,0.674140509717255,3.62067395320704e-10,0.0963151077085183,0.0070619635531749,0.065427771738837,0.602501970508599
2,0.318364237922422,0.597620561960243,0.0179505082364742,0.950037897579615,3.46880848287483e-10,0.107219793865478,0.00688819514810117,0.0555307061109411,0.615949738625055
3,0.349740351119434,0.509210824811064,0.0216316629782168,0.693980995555237,1.44504289604413e-07,0.0923477818142664,0.0172919352915876,0.0461099400454622,0.561541847917989
4,0.336118941447018,0.450515664037376,0.0265233823455841,0.633326341030053,1.6807371101729e-07,0.0917805901456123,0.0198002351627397,0.0381178388855528,0.536067802689134
5,0.293900162949571,0.620359684820969,0.0173121187342994,0.661122373994955,1.19082321465301e-10,0.133480899225634,0.0099665947353117,0.0233769461067726,0.542016961255793
6,0.242818355696958,0.380770854608182,0.0197272555390784,0.507649907323459,5.88069915705117e-08,0.13486745400958,0.0135539299971287,0.0239387375017403,0.451869881997956
7,0.296482995644778,0.418449739676622,0.0372668003361852,0.927681111763693,3.7906605660878e-09,0.209872620608967,0.000417492989130192,0.112834171302929,0.683096744234266
8,0.327369151050937,0.428733009150209,0.046412167956948,0.919732864487028,6.75472499166129e-09,0.220167148448057,0.000498802187820399,0.0968278346979118,0.68737466359744
9,0.460746821133409,0.414736277947385,0.127646782853328,0.711466659031275,2.20585573031651e-07,0.205946025733257,0.00747597058674404,0.0486300967511042,0.612989035271558
10,0.413668308622294,0.344657430571009,0.169328961506103,0.654304981327025,6.11576499611029e-07,0.200003354862678,0.0151710377689653,0.0412960671554338,0.58399769086797
11,0.14277475167901,0.192551472830449,0.137117486255324,0.852182217463388,1.72814212427531e-08,0.250013722182593,0.0180107279671847,0.0587708763208189,0.570257628636431
12,0.106203945633493,0.0978975404727333,0.101595698659619,0.544210501262223,8.38907825730796e-07,0.25511093824774,0.0172481177215735,0.0433805531916923,0.505427237321585
13,0.78556267697427,0.781000850290697,0.116457039940972,0.784047580519648,4.2101095445384e-12,0.31957219406046,0.000734636939879456,0.106939062368994,0.895429609873665
14,0.82901846515443,0.74248194854742,0.140917895298067,0.741552370051271,2.35765883979804e-11,0.330999457701645,0.00124430812386744,0.0948914668630171,0.926144914274903
15,0.752647130087243,0.877122030693939,0.152705938896659,0.88105570377884,7.87481410141284e-12,0.290009017494905,0.00198352298013422,0.0517219461823431,0.831934540146327
16,0.718558371374036,0.967962555217465,0.130033695832691,0.866686881473161,4.23509351159005e-10,0.258834447578414,0.0023934544074106,0.04139201799577,0.807456226029058
17,0.463152454840789,0.838286590606772,0.103483201438423,0.866541215096909,4.04494455870787e-11,0.232639241202711,0.00268226410260032,0.0779560082875724,0.808025239089311
18,0.379345574971577,0.582015356829473,0.164303838744718,0.784489682346766,1.49644721473542e-07,0.233518159019236,0.0199323319203536,0.0582639082150814,0.670891717386117
19,0.783921317110028,0.670502222698002,0.109721126730979,0.853052337903141,1.00413653542713e-12,0.343304903924059,0.00076520172447663,0.106094222403907,0.912533899663925
20,0.82873949653625,0.641763049376157,0.147783327177523,0.80138596821228,1.56385492628305e-11,0.353846216741038,0.00151729928547353,0.0946454950136132,0.943414840026742
21,0.606291223049273,0.987876574569672,0.109810999330536,0.555006134880071,2.0666859932903e-08,0.330708595693903,0.00839538012079709,0.0372958738076065,0.734286948739779
22,0.605848049097462,0.964876529331551,0.113219260867954,0.585450703839272,5.09416124985671e-07,0.293468024529483,0.0134887859953004,0.0308560160864494,0.733286620283436
23,0.418351939361361,0.924035847402547,0.109887591988782,0.999887009043163,2.67172484524747e-10,0.223593819772515,0.00382410230815077,0.073248513461751,0.814402968905915
24,0.232652090232124,0.478500316665644,0.0524468647850786,0.429842518377788,2.64136985725595e-06,0.299696366354358,0.00483050853652848,0.041458363465887,0.685721897737388
25,0.589979555090948,0.972264396840828,0.124064045402808,0.946056617993181,1.74354623944464e-11,0.297951605906237,0.000406733986005043,0.040537942517834,0.832086743997122
26,0.609784302969389,0.957645131629097,0.143491240698735,0.975953354453656,1.54539446211783e-10,0.304041268357283,0.000695483968635618,0.032760701874237,0.841957267484307
27,0.382831241232226,0.637282237676235,0.106885256883356,0.319537309161888,6.02977582772163e-07,0.277059238291618,0.0240175556652038,0.0176114035598454,0.625034886964881
28,0.370226825312672,0.638939418214074,0.117707218935294,0.315516018760519,1.66492235252175e-06,0.275706413799762,0.0318297265363874,0.0130830507357421,0.62891526721751
29,0.306693052838436,0.655314281553259,0.183738516865541,0.661287471644342,2.42649771320563e-08,0.221887023523691,0.00870516639903869,0.0139678457168409,0.714174482190506
30,0.109602877337101,0.321343312438897,0.0499525447216389,0.182523868032668,6.34278161672106e-07,0.32391490307102,0.00728384754768113,0.0114390535349345,0.641177373663935
31,0.895316478440797,0.635855617002804,0.139805383350693,0.76879609678599,2.79012058895454e-12,0.34798096081018,0.000377766845547943,0.0353099044711787,0.963098732772148
32,0.929368472351214,0.601179992353568,0.162717154260123,0.736272588027637,3.23386364584019e-11,0.364684503587409,0.000618402394502928,0.0309920693780239,0.992070449930784
33,0.818323542142304,0.771138241541546,0.182424149465093,0.843839712505237,3.93009707546164e-10,0.292449759832859,0.00148230777679459,0.0132482252604664,0.879915750195908
34,0.762565026048309,0.86016935387253,0.216379323066698,0.832969398171911,7.55667819704884e-08,0.268938951621293,0.00593050621775739,0.00927827163742873,0.851144058121658
35,0.433452612116349,0.866795440564117,0.144900582222884,0.895726309675432,5.2721277767411e-10,0.214445395168217,0.00165394422699224,0.0200959323898296,0.851365339047907
36,0.226501116663929,0.400023583639866,0.161104123226161,0.613272810485826,7.43671731842299e-07,0.163786336670309,0.0152089157540527,0.0188825590006988,0.654475729978813
37,0.325012678806539,0.637763343546692,0.0181985224653996,0.670587009743771,1.19052991921774e-10,0.0915906225514699,0.0065563048664873,0.0574667241507309,0.60873099913673
38,0.34854989441328,0.673172725616151,0.025082377020123,0.923048000470122,1.78807162698649e-10,0.10035257688316,0.00728275845721471,0.0478023397482716,0.61864554163619
39,0.358156607802804,0.541745308841816,0.0258483323438547,0.6156212571372,4.26936882804613e-08,0.0800164776420732,0.0147257180593185,0.0435002838194235,0.542561275075112
40,0.314058137065061,0.442947378142719,0.0301254399651387,0.540965746564689,2.47077341299042e-08,0.0806005502246417,0.0155912582104723,0.0367807601161275,0.51070346142485
41,0.308967436552027,0.661038868275343,0.0228287671946027,0.641114925636153,8.50511918597871e-11,0.102754090595488,0.00993482923049434,0.0176046759489378,0.522954664247708
42,0.168739703095027,0.326606093823373,0.0300468336669907,0.348299433098488,1.77858025277136e-08,0.0980544744915727,0.0161190899266942,0.0186864967171569,0.426027207006452
43,0.202636921208178,0.293351717048335,0.0769822363554222,0.919188030644674,1.34919953118412e-09,0.498540712283212,0.0030447446578118,0.116986168291786,0.750925639246441
44,0.241503364986046,0.288400307083994,0.0882062357929177,0.928532309037557,1.96304419506586e-09,0.500807621050801,0.00339910391395038,0.103921973471766,0.75435657296147
45,0.330551206471404,0.306928125262671,0.124405911197331,0.7455386202441,2.22638145329282e-07,0.440786009796041,0.0102100765390093,0.0501598175557307,0.695260308128005
46,0.407160337464695,0.355733750751267,0.149661109798218,0.719011292534145,1.20835534865608e-07,0.404073055677299,0.00860579954832104,0.0348847456730729,0.679171508049458
47,0.124480524424554,0.149274416151759,0.135790359831798,0.90703574316979,3.62169509211963e-09,0.410352415577884,0.0106194795024733,0.0491602047028827,0.668026889865102
48,0.119269561826587,0.0993927283402595,0.130755938152131,0.616957280623109,2.75031147642657e-06,0.365174007891718,0.0260833559904679,0.0435716806662259,0.589383107465463
49,0.697657619790557,0.911197492201144,0.105972993655216,0.760621167929747,6.13701793225775e-12,0.662443216193031,0.00145019862597803,0.116457326409124,0.976607983555348
50,0.756422082883006,0.845696945202134,0.12775030476333,0.761869202002955,2.70262915509491e-11,0.68402362662001,0.0013995744283451,0.108351449461219,0.938181609090385
51,0.651733248255569,0.991079116773584,0.157347941094304,0.936115997291408,2.90429916982919e-09,0.617610072523759,0.00419445526934432,0.0737155697381102,0.961299063869621
52,0.553285553869656,0.905915627095978,0.117279187598382,0.917185554837231,2.76078126842568e-09,0.577896614662417,0.00371715528127489,0.0628736397679042,0.937098479766541
53,0.391698905298295,0.737953767646712,0.106665006539762,0.826702949994636,1.98522647452239e-12,0.538734392926956,0.000588994112855134,0.0773303168248887,0.998332080876834
54,0.234681688206797,0.397763644537676,0.1286562265331,0.864067927664979,1.09207515592133e-08,0.445286200691814,0.00455220350451256,0.0721106202155464,0.840280493491904
55,0.655034347943752,0.883064568009906,0.0868327218349936,0.792961492392929,1.14023022121997e-11,0.660343231927359,0.00183173871750566,0.14341580931732,0.980077355769921
56,0.72101966985506,0.82173832994951,0.107081856960572,0.787549647673802,1.08097852810229e-10,0.677184136376602,0.00136812953321221,0.134151105067397,0.938519959699067
57,0.568246263994746,0.944797878228375,0.096021935469075,0.656959063954776,1.031625083664e-08,0.626084472484444,0.00721677246610739,0.0483596319358529,0.879249738982785
58,0.565711069686737,0.946055677260508,0.0868368071445386,0.685995160463045,3.64080857105393e-08,0.606218929182126,0.00705391168505375,0.0406871482770806,0.884504588042698
59,0.346105021308476,0.792899735870972,0.0968309795984426,0.908268725060883,1.46798408918166e-11,0.540868155083044,0.00135246857203744,0.0813902776254314,0.990303901229224
60,0.270311463928164,0.512861134448559,0.111679816246984,0.605585276384329,4.06675558500506e-07,0.589206416196467,0.0130849086208914,0.043710997125899,0.832911267718803
61,0.412147202089632,0.739993993532205,0.108728266872368,0.941273878948317,1.24312112372057e-10,0.552177368430699,0.00179873893061662,0.0575351731161114,0.872152301147007
62,0.453879992025864,0.768489848610961,0.139735146465635,0.988206253250049,1.47777878950323e-09,0.55249047678221,0.00297811360742418,0.0479094271993684,0.887672006544033
63,0.309532438570089,0.519775401277978,0.0931732034206361,0.401974654539454,3.55792542661246e-07,0.47509376779162,0.0196829679225262,0.0186107180952317,0.697009728939996
64,0.320509313623033,0.55305324776596,0.111383783448809,0.42936403991966,1.01331688997738e-06,0.465693513916229,0.0267239518608198,0.013371554148216,0.713152895962491
65,0.248993629136466,0.524996277599642,0.169918680474864,0.710044714007831,2.88684207745027e-09,0.424760133390161,0.00546265488779276,0.0130851196215862,0.825595560283487
66,0.0712712460245839,0.240769635183431,0.0445528420416243,0.216445504022297,5.43802845869178e-07,0.39137150067231,0.00556245643733835,0.0102599148584401,0.662759314998479
67,0.806515660541076,0.817140362679281,0.137311508313513,0.66675896844148,7.32286979657296e-13,0.687093187196861,0.000796568555053456,0.0391267536557951,0.90525162682978
68,0.84798266347231,0.764144681806316,0.175203674617606,0.704551707533114,3.35699951013155e-11,0.718959079867616,0.00124752392212082,0.0378932679251983,0.864335881399302
69,0.711219337703705,0.920768382461584,0.165525460623815,0.923634362297633,8.32344173911978e-10,0.610924782394698,0.00120836579341945,0.0221505332694164,0.983281126391823
70,0.566800930459273,0.987529526953454,0.121079216535477,0.910790274897826,2.54738252107927e-09,0.535148271484625,0.000702052189360871,0.0190688544990669,0.989850522425096
71,0.375906193553064,0.765163297886386,0.163924574372819,0.807319291611962,4.46754959230706e-12,0.503339207465567,0.000561307357314131,0.0215358262537315,0.950680516385154
72,0.212327986178555,0.334136545821466,0.111729889393731,0.715104456959569,1.21707879471933e-07,0.257144758597057,0.00209008383298723,0.0251759368998725,0.79979385698777
73,0.223956582634287,0.964523235486859,0.595914859824633,0.525296561262799,8.09690936049056e-08,0.00555739853384312,0.00602038097513168,0.09040459061228,0.551515600400184
74,0.219566278348759,0.988628384723587,0.608105357840607,0.514773145797149,9.04295337506979e-08,0.00241124776213471,0.00582340968933717,0.0738016686199301,0.568014245707999
75,0.194385488763141,0.838946604594715,0.594482085490654,0.589223166796932,3.27112207101797e-07,0.00615190707510064,0.00772634352646885,0.0675782974653691,0.477957391348052
76,0.128515452283908,0.647990802633202,0.570122791590959,0.446890205337198,1.32196756608601e-07,0.00476316850220271,0.00646292361357448,0.0480775889617581,0.435818469845396
77,0.16611110446886,0.955153186595897,0.823783193399279,0.171138743132704,1.36977218210914e-08,0.00030277968543226,0.00113282269029836,0.0370767246467351,0.633398283335325
78,0.113391088455238,0.607035215510287,0.739904232108678,0.273314176564522,7.3362807310902e-08,0.000222707060898336,0.000757404942302548,0.0364897912700517,0.527459741489593
79,0.22001834168127,0.386825839387328,0.196249421783413,0.922981903921948,7.85089257748128e-17,0.428411449127044,0.00703261669720892,0.0862160109732142,0.548028680540342
80,0.22203075616996,0.392569668523228,0.225661471476409,0.918713383619039,3.57421913633578e-16,0.422253885287012,0.00873075304519144,0.072721219821901,0.53362137632992
81,0.33801586321813,0.411599204060641,0.272055587520936,0.818184546233234,6.62153880633497e-11,0.435356486951192,0.0238278496313634,0.0467998057177738,0.475029971847073
82,0.331058717304505,0.385721175882421,0.272311937050301,0.77031313929229,3.6979778419159e-10,0.41496594797784,0.0253321832479659,0.0343991494708222,0.465086310578451
83,0.079005959761815,0.209313034972797,0.238055088233037,0.630545904342136,5.99356627747509e-12,0.162714753605062,0.00473969114627258,0.0294903376677856,0.354320173755571
84,0.0715219530170158,0.136959119944817,0.268258022601467,0.522341342344648,9.0813418888247e-10,0.176014757616691,0.00675868542227289,0.021047827217301,0.304126132713952
85,0.674099886650344,0.866926891906783,0.149774247959463,0.7860456001304,1.84485046090777e-26,0.573896350136785,0.00065085693161176,0.0813245853315548,0.827612754074966
86,0.730194947520827,0.812093303808357,0.161855920300728,0.741865470841878,6.59748216228223e-25,0.582080206525135,0.000353373457581743,0.0720847513176348,0.858454977643069
