"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.971704201727207,0.048624721113422,0.106408857212331,0.00814236842912001,4.41651985654268e-06,0.000140907789377209,2.03998181599898e-05,0.0176791311281883,0.484724627373998
2,0.171623065219237,0.0487655218199715,0.774707245594943,0.00112395774452941,1.90439851925192e-06,3.16679427529745e-13,0.000219787244639156,0.134133221874115,0.891214645597199
3,0.512094225206426,0.0107505779003162,0.721660735854306,0.00267008473716027,4.01172409418551e-07,3.79698843318667e-14,0.000241584716616326,0.105988335349147,0.722861034079459
4,0.556367581026468,0.00665808407361503,0.684961007382235,0.00180078155198049,3.61347851660886e-07,2.14629060670528e-13,0.000315312569046464,0.151292292594375,0.712465733325351
5,0.581929333857159,0.0057975702157186,0.633977871938909,0.000915647620401022,1.00186885103873e-07,3.79157464936708e-14,7.33180979045383e-05,0.153530933316671,0.710724965157266
6,0.572193141079756,0.00614418884314377,0.671319742592967,0.000888033311184953,2.26740297605589e-07,4.31697719516142e-14,9.81009391348211e-05,0.185323130513561,0.702942602789448
7,0.574602723025776,0.00537282436289903,0.597683936137466,0.000800915220853729,6.06446739647043e-07,1.42191631378461e-14,0.000104412471822704,0.195985039171443,0.705638696346267
8,0.575275964377809,0.00482711974020143,0.588304239532009,0.000704091956996197,3.92823006566015e-07,6.54381418798233e-15,0.000130944916017466,0.232697682357665,0.703220669487899
9,0.585061140453793,0.00460514740409811,0.535697709129783,0.000805023957320872,3.94062701809579e-07,5.47897803251522e-15,8.34860864063965e-05,0.233494842934075,0.702659740748964
10,0.585061140453793,0.00460514740409811,0.535697709129783,0.000805023957320872,3.94062701809579e-07,5.47897803251522e-15,8.34860864063965e-05,0.233494842934075,0.702659740748964
11,0.143486109113269,0.0693665419260142,0.930345831874858,0.00205182523343652,2.27767269689757e-05,8.64790436200544e-12,0.000853602878690729,0.153501397721611,0.89690531498987
12,0.430561933660817,0.0301265551514517,0.793091021225304,0.00416575348202529,6.09576695333709e-06,3.4295461157236e-13,0.000485157859464483,0.104672363505683,0.772214180940974
13,0.420287748431704,0.0170497070501279,0.722529226550157,0.00193443206929785,4.15533974909164e-06,1.58207234868494e-13,0.000368379430950047,0.154110156630881,0.76300987548161
14,0.450727542569333,0.0126464674112504,0.627419247957702,0.00178875943574591,1.85958721967171e-06,3.94664573063833e-14,3.1089080910808e-05,0.170900957544215,0.755814803897678
15,0.442370192509915,0.0115706326236563,0.694003921257466,0.00172038354526686,4.16566654289301e-06,2.64248997292042e-14,5.81695580774548e-05,0.202350103065123,0.749559004810215
16,0.442778713801172,0.0119294489235538,0.615854825420706,0.00130548747201978,2.87390255570449e-06,1.36402551496347e-14,7.16443501124971e-05,0.211063053875224,0.745111056597897
17,0.452075964590185,0.010825876021841,0.613801933597674,0.00110551264356829,3.21289225561219e-06,6.62491527890459e-15,8.84304685201783e-05,0.249281000341979,0.741606282289503
18,0.45659068914635,0.0104841828695094,0.565620068456514,0.00116699448807375,3.35168489581169e-06,4.50090586571654e-15,5.31868721635112e-05,0.246674214412296,0.741697008204808
19,0.45659068914635,0.0104841828695094,0.565620068456514,0.00116699448807375,3.35168489581169e-06,4.50090586571654e-15,5.31868721635112e-05,0.246674214412296,0.741697008204808
20,0.117504221487788,0.00410074190973909,0.0522634310185022,0.936006350441653,0.00676979654645109,4.22359543082254e-05,0.00104288147178431,0.561532497084372,0.214202893987771
21,0.117531498082366,0.00235819797325306,0.0333056039592394,0.99288526813152,0.00912183452992008,6.20815499467922e-05,0.000263562819799163,0.64879705185116,0.226952053351762
22,0.107176223998933,0.00220856476065216,0.0448804492642894,0.98651498671565,0.00272951536157309,3.82267780287757e-05,3.29386440448733e-05,0.660654277712128,0.238786315717578
23,0.11041584298044,0.00276479545944277,0.0551497861547181,0.876017569636729,0.0031071462737484,1.12784157360448e-05,6.44907383080647e-05,0.679919832547945,0.252419492900092
24,0.11688199604176,0.00325076937352305,0.0440595857243912,0.853631420407934,0.00133610013428525,5.40942734249005e-06,4.69724687920304e-05,0.700816622953139,0.246829053108254
25,0.112272737843174,0.00265390220156731,0.0444948537256785,0.876005905479272,0.00096449757187224,2.19297729525897e-06,3.82246657944843e-05,0.71289501393643,0.252177251553911
26,0.102474482877914,0.00314454048513136,0.048011467469537,0.97660962455096,0.00114801189319239,2.91372336101471e-06,2.3305937179009e-05,0.699319386881873,0.25082806697643
27,0.102474482877914,0.00314454048513136,0.048011467469537,0.97660962455096,0.00114801189319239,2.91372336101471e-06,2.3305937179009e-05,0.699319386881873,0.25082806697643
28,0.289700696479955,0.00659845737337241,0.126540915429817,0.979076524920494,0.0228882642757468,6.8241462558666e-05,0.000242284476202916,0.643534438643536,0.262240894001904
29,0.282761881331852,0.0110554577035004,0.116473242020244,0.952524701400514,0.00595874618045049,6.64778241634941e-05,1.15572099290701e-05,0.642396313383714,0.272109774709903
30,0.298826685829222,0.0160690880853545,0.114429500390344,0.816392709051736,0.00644115338324349,4.18116224986956e-05,2.06626072592203e-05,0.681180544658152,0.271532615635768
31,0.288358975018033,0.0223618582906767,0.0894520877401539,0.822161948917477,0.00306297081347741,2.1677342594357e-05,1.59474219827976e-05,0.671498552059997,0.255823613336137
32,0.272746375899134,0.0216480382292011,0.0786996044847647,0.833482256527556,0.00224347740882789,1.37231470868161e-05,1.2639276786665e-05,0.676102306179308,0.255521228785546
