"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.00118182435966037,0.00116990330821987,0.150341339957897,0.61459858309529,0.036614308623989,5.20029470207825e-05,0.71030051406143,0.846843007272159,0.180417817248383
2,0.000934181928594624,0.00133271813935979,0.221169475726089,0.870218804127926,0.013889491741278,4.79403510191763e-06,0.964531881566285,0.911689385930633,0.135257171041676
3,0.00221981263231793,0.00166844827464178,0.127086759146314,0.77843295809336,0.0137002688147673,3.8428119586509e-06,0.768056605488312,0.967984248459226,0.128578513580419
4,0.00209885854648353,0.00148771435028262,0.0638933288441547,0.719621277745814,0.0225666366217743,2.46562678515893e-06,0.55837263528458,0.983978721015359,0.105663649665393
5,0.00177625950715707,0.00162567451687429,0.0580729362815184,0.776263250736859,0.0197138268048206,4.30900679935991e-06,0.516840607515805,0.992602459417777,0.116739877831382
6,0.00105360085420016,0.00100236065937097,0.0361889701339412,0.673868879590966,0.019238462653317,5.82366621919287e-07,0.424658154968317,0.997162027423569,0.105415264510153
7,0.000775143965833135,0.000933590831777028,0.0415096162318072,0.698853851376421,0.0210488013673433,4.4066955284266e-07,0.410618914019511,0.998208218592008,0.115223380060958
8,0.000542940254031378,0.000977080691928912,0.0409358226177953,0.682166987382896,0.0215087669067662,3.6846931765275e-07,0.403612021382054,0.998830349422449,0.1118871596124
9,0.00048179048519667,0.000858928751271905,0.0380016046507933,0.669340955252047,0.0210326512301242,2.18668655848266e-07,0.383346113498604,0.999035850823736,0.107490945872131
10,0.00048179048519667,0.000858928751271905,0.0380016046507933,0.669340955252047,0.0210326512301242,2.18668655848266e-07,0.383346113498604,0.999035850823736,0.107490945872131
11,0.00130976990918321,0.00150513192073803,0.178358927886286,0.914440774197435,0.0143605208280855,9.50970811066332e-06,0.828299855968918,0.8394193114034,0.155708018452444
12,0.00361581337908741,0.00135210293761632,0.0962589369471319,0.823112159516228,0.0171398653971541,5.98022497329542e-06,0.652607646856659,0.922568125336255,0.10890466726562
