"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.000275710956351562,1.29559158898281e-05,0.00870350670918998,0.000196453391611267,0.000459186187150032,0.0322540131132049,0.0506783708885985,0.964085737990529,0.937274456725307
2,9.64436397779274e-06,6.16096735197172e-08,0.000850743611239881,3.08759766411012e-06,1.86376788002349e-05,0.0502969796788498,0.0110746054199123,0.983295378103266,0.843533657484541
3,9.3215370339712e-07,2.1205827881458e-08,0.0002125197596159,3.00480197628621e-07,8.79534523372333e-06,0.0371102655503717,0.00456271501056782,0.994329213598333,0.915768135986863
4,1.10997944596286e-06,4.4968360873747e-09,4.2012742839588e-05,4.93165013014594e-07,5.8200973813068e-06,0.0451333011470808,0.00166287392609633,0.99859056764709,0.901941066519134
5,6.93147065550097e-07,5.16845262983755e-09,2.91565876475424e-05,5.58497928928718e-08,4.27085021093967e-06,0.0362865493346648,0.00101210681412193,0.999266453777339,0.948322890016814
6,4.36159428737799e-07,5.01095879704559e-09,5.61168310907285e-06,1.8676688467052e-08,1.39370315981407e-06,0.0306922158251896,0.000460795866144354,0.99936382232609,0.967595145164752
7,3.74811613872223e-07,4.40705117471952e-09,2.22975679554803e-06,1.96034437181107e-08,8.49757910971422e-07,0.0298379924832913,0.000272790860588066,0.999762255192781,0.953681602657402
8,4.06498854528579e-07,6.88632720318596e-09,3.38214734633854e-06,4.31913412061806e-08,9.3149309144582e-07,0.0284634542982784,0.00037879479252838,0.9998407909397,0.960716560519805
9,2.69147148883448e-07,7.26020863824302e-09,1.94725879113162e-06,3.58013341098636e-08,5.87017133222271e-07,0.0285969659803526,0.000288630874172682,0.999895191324019,0.935741814932105
10,2.69147148883448e-07,7.26020863824302e-09,1.94725879113162e-06,3.58013341098636e-08,5.87017133222271e-07,0.0285969659803526,0.000288630874172682,0.999895191324019,0.935741814932105
11,1.83187966180104e-05,2.9791069204697e-07,0.00179750860325544,7.83852683852565e-07,5.61780839038297e-05,0.0336617883038233,0.0187395036442317,0.943742014030046,0.979659884800443
12,2.67722342131366e-06,4.15871764293418e-08,0.00120508078421364,1.21517944736942e-06,2.46658141401219e-05,0.0288396719142255,0.0126851543869435,0.984086143434234,0.974275519792935
13,3.87353211389868e-06,1.95571403223053e-08,0.000153515043550976,2.31601432517453e-06,1.00560652884045e-05,0.0364175074286534,0.00343418089439264,0.995364165630401,0.975530364835478
14,2.43098213315381e-06,1.44959747432475e-08,0.000131285461405718,1.40548730682325e-06,1.65747658094841e-05,0.0300431671944964,0.00243397131650081,0.997118998126386,0.977157912757747
15,1.36973615218788e-06,1.02075928243772e-08,1.80889040332962e-05,1.13753491733253e-06,6.69327332239075e-06,0.0224657727529611,0.000626671570222814,0.998097440919664,0.960724890347669
16,1.07078435986114e-06,8.56861512948638e-09,1.65274469488403e-05,4.64259307441351e-07,5.37275216815563e-06,0.0236342866670548,0.000642658133335132,0.99911783125165,0.980754408861566
17,1.0419632255131e-06,1.37311805347235e-08,1.62067932041213e-05,2.95766034424516e-07,2.47023524763923e-06,0.0229271255118097,0.00075782503892905,0.99941639465961,0.981813774128521
18,7.56366111560106e-07,1.25774154345053e-08,1.07678693936858e-05,1.91094249205462e-07,1.61823777614113e-06,0.0237783887985716,0.000607644807848138,0.999546917021078,0.989256006611962
19,7.56366111560106e-07,1.25774154345053e-08,1.07678693936858e-05,1.91094249205462e-07,1.61823777614113e-06,0.0237783887985716,0.000607644807848138,0.999546917021078,0.989256006611962
20,1.92583447853763e-06,4.20708878947081e-07,0.00674321707858023,0.000423032221554647,6.26038098875478e-05,0.0264304743956605,0.0356029628817406,0.969617020709948,0.998592601522113
21,2.00706969736837e-06,2.50330118655077e-07,0.00142834479984149,0.000448515169293413,6.52742146384168e-05,0.0358492482778984,0.0117018533024275,0.989006692161555,0.978136768999782
22,7.52216294641418e-07,1.11480961757188e-07,0.00125547671461989,0.000259061344949804,5.95080449309632e-05,0.0288699427143117,0.00825653644281723,0.994426899574866,0.984593530286566
23,5.68387790288531e-07,1.22850809447478e-07,0.000530418932802678,9.11894311203661e-05,3.75722602113121e-05,0.0253652804301823,0.00446986741241365,0.99655380499734,0.971642673391177
24,7.5705448745545e-07,9.11024802495134e-08,0.0004209621063662,5.66346485202935e-05,2.21262698275115e-05,0.0275378995456558,0.00438689261664582,0.997888747329876,0.995337964905583
25,1.31683414303198e-06,7.94833462424891e-08,0.000291602278071521,3.59549500507134e-05,1.03189016768326e-05,0.0251257575224547,0.00450114307229469,0.998639812007276,0.997136935399798
26,9.79598221186399e-07,6.11208814155587e-08,0.000189611272225116,2.37987731530415e-05,4.49867229769207e-06,0.0290674361726592,0.00367802617713885,0.998976499336812,0.951089862171017
27,9.79598221186399e-07,6.11208814155587e-08,0.000189611272225116,2.37987731530415e-05,4.49867229769207e-06,0.0290674361726592,0.00367802617713885,0.998976499336812,0.951089862171017
28,0.000146842127562836,4.63328984242925e-06,0.00309278665015569,0.00179502546932886,0.000799247081756951,0.0276197838231915,0.0167029290219678,0.963856824339154,0.91527648598571
