"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.00646864319514492,0.000204223338666224,5.26172644298975e-05,0.81950093084606,0.0016703612322571,0.198636101536221,0.00213180250932593,0.391807735168789,0.587738840004437
2,0.0088192937423579,9.79369858561478e-06,1.23242943099563e-07,0.114980392497955,6.54871898653129e-07,0.0146400401509165,0.000595730567827149,0.368595948994269,0.942463805884765
3,0.00634170174136435,5.24166160846356e-06,9.12902475676227e-07,0.2206608377204,6.39232040373257e-07,0.00626556218414402,0.000282739235712154,0.876141889582758,0.882715544300692
4,0.00463059174329442,4.93636954983705e-05,1.28438163188801e-06,0.235689916681556,5.12884863305787e-07,0.00429263059799064,0.000320022343024989,0.929324425460717,0.900963958872581
5,0.00438549115472842,8.73751242845867e-05,3.44507779669659e-07,0.282467813079827,2.53528781143937e-07,0.00296510090864044,0.000138867980181731,0.941822856567417,0.875425684352995
6,0.00187268113469756,3.59233318921547e-05,2.90506181186206e-08,0.244539298571974,3.68333769894184e-07,0.003651914403114,3.77054531761945e-05,0.962925280553384,0.904164453253575
7,0.00141429853657859,3.06449415375085e-05,1.08998213811428e-06,0.18389110677895,3.50611503724843e-07,0.00348088100306762,0.000297392942781754,0.978047512659096,0.969749139683837
8,0.00195444919431821,2.83026266684699e-05,1.71405961526764e-06,0.194133339173707,2.68334321688382e-07,0.00254083244825453,0.000426438979961747,0.984040704162404,0.97756548959293
9,0.0017823299662542,3.25706686216141e-05,1.51098774698192e-06,0.177706994543937,2.00978022279305e-07,0.00232526464753579,0.000419591690055572,0.986877381145127,0.983496136229373
10,0.0017823299662542,3.25706686216141e-05,1.51098774698192e-06,0.177706994543937,2.00978022279305e-07,0.00232526464753579,0.000419591690055572,0.986877381145127,0.983496136229373
11,0.00701624631184879,1.66328261373873e-05,9.98006807508222e-08,0.0874706381989865,2.19595132974089e-06,0.00858017526846844,0.000658371307622813,0.375865226903319,0.907980408108241
12,0.0175764707956697,1.87486375828101e-06,1.17087279716753e-07,0.180214389016509,1.27494480736635e-06,0.00297574988817751,9.29113027900008e-05,0.403502617870243,NA
13,0.0151660831733769,3.3457943508107e-05,1.22668494610734e-07,0.200266975627469,1.26309041644611e-06,0.00328512466456162,0.00014633315887625,0.807715665908888,0.834025805273811
14,0.0102307509435162,4.96827217010939e-05,8.33019553827306e-07,0.29641847140081,1.06786903012981e-06,0.00240917052440115,0.000204063571735277,0.839164973118543,0.775194039820469
15,0.00617827863500232,2.89301366745044e-05,9.27772677928255e-08,0.278560459362173,2.22297043268245e-06,0.00365410462401456,5.17488528010326e-05,0.917563566016338,0.671977783808871
16,0.00466072383544566,5.91285539965109e-05,3.75866027224976e-07,0.220484255587378,1.8784712745901e-06,0.00263147446799277,0.000185910783267578,0.926506162698683,0.774873649843112
17,0.00517622514129423,5.6733959665184e-05,3.08033037658107e-07,0.220023930359822,1.2291976410424e-06,0.00270597214752089,0.000164074384132392,0.946614075852481,0.866484516670251
18,0.00607413458444524,6.05279364115696e-05,4.99583754074606e-07,0.17153760658853,1.25246976217287e-06,0.00282551850405737,0.000253618631913001,0.958664554975366,0.837138989549157
19,0.00607413458444524,6.05279364115696e-05,4.99583754074606e-07,0.17153760658853,1.25246976217287e-06,0.00282551850405737,0.000253618631913001,0.958664554975366,0.837138989549157
20,0.00170748328866204,1.41801230063092e-06,7.74696442050015e-05,0.98268007577712,0.00197360177828906,0.111756306128845,0.000714124714417072,0.405518281352504,0.726361965023561
21,0.000299109626933216,9.09993040751701e-07,9.69206255233615e-05,0.926916996837322,0.000589218433342559,0.0917360550232217,0.000503971729204083,0.505206052760254,0.720432470139718
22,0.00141864934942803,6.6697579604727e-05,0.00014501884809756,0.953334392164686,0.00122288500201352,0.124387252907042,0.00122656787056332,0.92514500771621,0.516973171716502
23,0.000297798386147637,1.28108144915991e-05,0.000142657173115865,0.949558125668794,0.000436707108111377,0.119141138002804,0.00105521351706071,0.969288568896931,0.208762242713498
24,0.000210551582696547,3.61318859013459e-05,0.000170232974455052,0.821565825825966,0.000363231388369214,0.102261844777171,0.00201283974317249,0.979416846989478,0.553191290918788
25,0.000209335360586522,2.89421799575322e-05,0.000171383699230656,0.820538083111781,0.000313063126725807,0.111728811113599,0.00192805859287943,0.987697872188271,0.488440266156279
26,0.000277366334508424,7.22832814924509e-05,0.000147640063617976,0.733470759454856,0.000322927296478451,0.109181538904258,0.00187324106331481,0.989769344865618,0.468118649917098
27,0.000277366334508424,7.22832814924509e-05,0.000147640063617976,0.733470759454856,0.000322927296478451,0.109181538904258,0.00187324106331481,0.989769344865618,0.468118649917098
28,0.00101542742199209,5.88140908116651e-06,0.000205469682243443,0.668502099679095,0.000701906548459297,0.13799340611682,0.00329566390341758,0.423976964901013,0.669101702036314
29,0.00181828999457513,1.29409353017657e-05,0.000283711238211919,0.778659138018011,0.000938486027037923,0.130003885726567,0.00447091439390364,0.402617217190338,0.732936266585151
30,0.000389344096225552,5.44772922934167e-06,0.000920735537091819,0.82374084530917,0.000421479620507392,0.180527218733487,0.00523663500181075,0.93398240528263,0.365837855130773
31,0.000448664517907846,6.91389526626977e-06,0.00135859683353625,0.743125514092438,0.000467552762180016,0.183313916658958,0.0110544988490933,0.955664256684795,0.500250558422321
32,0.000250576962691571,6.39298764157364e-06,0.000871640915711691,0.725438522345274,0.000324301217957268,0.184106869111663,0.00826532752971204,0.964945551004521,0.465327634391008
33,0.000413386774262804,1.40346355024415e-05,0.000793771021299129,0.630193202281903,0.000351489767133717,0.176370832492667,0.00838893333547411,0.969396879254726,0.468028676588908
34,0.000413386774262804,1.40346355024415e-05,0.000793771021299129,0.630193202281903,0.000351489767133717,0.176370832492667,0.00838893333547411,0.969396879254726,0.468028676588908
35,0.00424647397206293,0.000327437117591814,0.00013989840296687,0.442948323073756,4.98040509961337e-05,0.0954082962105132,0.00570529694717131,0.356722143064996,0.681820107082265
36,0.00408431765937906,1.73266486815501e-05,5.18618114735311e-07,0.115774777111102,8.19322936841246e-08,0.00800114529345675,0.000448139166746848,0.826215592891777,0.966272379198463
37,0.00590592915588744,2.03105261206719e-05,4.94049496526113e-06,0.22434043831121,2.68314314740752e-07,0.00465930890810786,0.000604027424474371,0.930785708116885,0.878751307183868
38,0.00414078428344613,5.46656141952749e-05,1.02821219205165e-05,0.221565692408414,1.2338607440856e-07,0.00312766599947444,0.000912850972502846,0.976697662513666,0.883733403624316
39,0.00303380502488043,0.00012044643804676,1.92426473977344e-06,0.301330783856416,2.81771825499211e-08,0.00145856492610853,0.00034122996477464,0.983124483290751,0.863498854367032
40,0.00132334710035616,8.26155276781291e-05,6.73828734582829e-08,0.216509017492911,3.78153218250756e-08,0.00192762569784537,5.48675903487975e-05,0.987533880401507,0.908168229845551
41,0.00106145335247256,4.26856975043482e-05,1.5891938116836e-06,0.217253976743085,3.74296815655866e-08,0.0022558006314181,0.000419988775257044,0.994613683103589,0.962681713714625
42,0.00202251370682658,3.3895555097875e-05,1.22264575037984e-06,0.219486395132775,8.40708648467118e-08,0.00178495369191611,0.000339316632795396,0.995282078521223,0.951547203694326
43,0.00189738398327312,3.64474756481669e-05,1.04460797891457e-06,0.203504512926639,6.62786174712712e-08,0.00149842501213001,0.000316473296294493,0.995937951600013,0.954643236212878
44,0.00189738398327312,3.64474756481669e-05,1.04460797891457e-06,0.203504512926639,6.62786174712712e-08,0.00149842501213001,0.000316473296294493,0.995937951600013,0.954643236212878
45,0.00693549322029595,1.15076498912814e-05,1.14036281044745e-07,0.110389542383867,3.3988749640952e-07,0.00662594046421237,0.000364427120270923,0.453244969642455,0.973462382752061
46,0.0114293680109721,1.29383593025679e-05,3.69140354913414e-07,0.211691723710495,2.82568620001471e-07,0.00249693904388076,0.000208142304300326,0.839543637697106,0.811412832235094
47,0.012837459174245,1.79886003709135e-05,4.66923704738432e-07,0.233722506963436,4.64680465998279e-07,0.00142791345977688,0.000202673424199179,0.909624109922411,0.791273850840473
48,0.00901986814186042,5.31200226477956e-05,6.05011795786265e-07,0.354524734599184,2.66654170761663e-07,0.000821223107387134,0.000134394485172406,0.952178665646297,0.763612183315469
49,0.00572250823838552,6.70590515140248e-05,1.76230538022965e-07,0.276999392497458,6.13297839893209e-07,0.00150785158448701,7.3676792484108e-05,0.954072573168733,0.76534914262717
50,0.00473688382822172,6.49653745460244e-05,9.59776844212874e-07,0.267167591541461,4.35498924350702e-07,0.00153535866881015,0.000252086954373327,0.981688403698858,0.781712683689644
51,0.00535553373955233,4.94988376074035e-05,5.45439461561357e-07,0.264735067447142,3.83932438578671e-07,0.00116881017466638,0.000168140410445088,0.978270895319211,0.847683850478443
52,0.00568875546418125,5.70950343813324e-05,6.42200723940487e-07,0.209576885346411,3.27338582329986e-07,0.00106113715205948,0.000224573300290263,0.98251340617186,0.852591592875278
