"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.371585954383811,0.37384317598823,0.230898157817619,0.131136814443875,1.11745645794914e-11,0.040875111099062,0.0755242967618967,0.886583649284445,0.379883355083114
2,0.611428031928213,0.473892289388476,0.285882916807056,0.375223850851247,7.19320349251358e-15,0.0613579918541461,0.0187299363331557,0.955262233549063,0.425321002104711
3,0.476117541017397,0.391852827636814,0.322531181245777,0.317150432987809,5.05035238025083e-14,0.0746490314443325,0.022432694835001,0.971910279830964,0.380422077693641
4,0.509026099201311,0.439431149499926,0.301198066835864,0.55010364082334,8.68185479159109e-14,0.0656047519818444,0.0292331408773581,0.985419074144864,0.365255833161548
5,0.488555781106973,0.39900908199039,0.280948252759976,0.534148321093844,1.1881820674342e-13,0.0631559155254238,0.0337986792176437,0.993966659987205,0.377319927154718
6,0.533044357053889,0.476433374762441,0.302930219047727,0.616974162866889,9.45597698108041e-15,0.0474784960885541,0.0351020231183148,0.995086202804524,0.388333419507156
7,0.525240363001552,0.464429194117266,0.299099087885334,0.650417485444119,7.88150834497777e-15,0.0549425590876254,0.0350853433273565,0.997663370132876,0.393131083190666
8,0.502154234972798,0.449120042378129,0.280803293059666,0.651623509013627,5.83178232696891e-15,0.0567136815142799,0.0351213544930498,0.998603279859089,0.379303237249655
9,0.457718206929676,0.421457799842224,0.32576935341279,0.676920755661361,4.40554183403472e-14,0.0536885428488759,0.0353494239631118,0.999164115678104,0.342888180615671
10,0.457718206929676,0.421457799842224,0.32576935341279,0.676920755661361,4.40554183403472e-14,0.0536885428488759,0.0353494239631118,0.999164115678104,0.342888180615671
11,0.46071421952089,0.424421994020901,0.253699543210289,0.512968493036661,2.23981658474734e-13,0.0708566937203584,0.0241294098103699,0.904023535798066,0.365839630947509
12,0.351256277202657,0.311636869949664,0.309235392819298,0.359907279937044,7.31913592709683e-13,0.0882974390277261,0.0204448216642578,0.95118892424843,0.333299848003806
13,0.410848893442356,0.401963239599659,0.296466289129715,0.647808646515101,2.01737796556444e-12,0.0664525450940556,0.036478808437782,0.966094876190049,0.344665523821525
14,0.350947975854203,0.318065627422521,0.262966235404065,0.606305548387287,8.96270123497601e-13,0.0635825199948956,0.0350310885302469,0.986928588685002,0.342612534565019
