"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.178398297213882,0.0130051002972869,0.154566431002871,0.106766942850459,1.65821981606823e-10,2.409739414828e-05,0.023024143053179,0.90436105158562,0.551828438496492
2,0.33582854456011,0.0721608403399949,0.128670848848202,0.154247048594959,1.57214385334022e-11,4.89490095254379e-05,0.0242861524106948,0.964905217099714,0.732937226623132
3,0.379139962661115,0.0784680117688363,0.179742274514371,0.118689929358858,4.68769470957006e-11,3.97071043996129e-05,0.0265553634213098,0.984509256412545,0.75624420985577
4,0.395006272699387,0.0749193886808136,0.190212711443227,0.095482717475845,8.52727281770922e-11,4.05613835262689e-05,0.0376067388180571,0.993250945976213,0.692524511428195
5,0.398484782884495,0.0779760979166214,0.140727831903778,0.10959571958396,8.61242463137249e-11,4.98522475084667e-05,0.0522042715821884,0.996578004733799,0.681277169296723
6,0.381575270480037,0.0715508429164909,0.161832025812912,0.0987863914492628,5.3955523422153e-11,5.02425330124132e-05,0.0416987048971721,0.998943654646217,0.716488400570489
7,0.392159519439107,0.0737430322334473,0.140087075023071,0.102899713999858,5.13701188030077e-11,5.12366846338837e-05,0.0423111571393512,0.99954320217307,0.712652563567047
8,0.390041724939562,0.0730127923865136,0.123616473884377,0.105242212176575,5.02400160050316e-11,5.35673936293526e-05,0.0427343224208075,0.999726252146402,0.706726085221656
9,0.381900483832681,0.0703319542978592,0.122085751993242,0.111808710770361,3.49132776106397e-11,5.18174227981791e-05,0.0452512606107447,0.999763974715684,0.698443560378147
10,0.381900483832681,0.0703319542978592,0.122085751993242,0.111808710770361,3.49132776106397e-11,5.18174227981791e-05,0.0452512606107447,0.999763974715684,0.698443560378147
11,0.435590001651374,0.0806768943457833,0.174198959080442,0.105583705317708,2.57077206712174e-12,1.08369641714587e-05,0.0256805821168632,0.901418584448217,0.743383392657325
12,0.419047950648773,0.0708812909395859,0.249445203701607,0.0818068066694681,3.32612767080333e-11,1.52737714811182e-05,0.0242933121898408,0.965887575468492,0.759053003363726
13,0.380277657492359,0.0618177102910061,0.241910777824194,0.0575113252884155,1.11148554035556e-11,1.90228161838601e-05,0.0221041454068453,0.988240916804383,0.702865657854492
14,0.442542104972999,0.0742821648419142,0.179294557173439,0.0754704004250358,1.44374708805243e-11,2.64465795533051e-05,0.0352469704178791,0.995949668907986,0.71979874610325
15,0.48865952951071,0.0825162385419525,0.186250822420114,0.0619662476304882,9.46270504525578e-12,1.65340172542292e-05,0.0245759008049582,0.998671136564529,0.752801340700334
16,0.45226503238884,0.0770243263249539,0.13544903612681,0.0765280284756012,2.10154137551932e-11,1.91942795497879e-05,0.0411270897695485,0.998688458043093,0.710250361096257
17,0.427804448230378,0.070113004876142,0.134417001908984,0.0791104629442464,1.75473660493692e-11,2.31455620640852e-05,0.0392518390975384,0.999181928032278,0.702195458504187
18,0.440422091001816,0.0772397248566971,0.104810590386976,0.0807180986205037,1.5691735802294e-11,2.85480243091199e-05,0.060583760141115,0.998621039460861,0.708581788297353
19,0.440422091001816,0.0772397248566971,0.104810590386976,0.0807180986205037,1.5691735802294e-11,2.85480243091199e-05,0.060583760141115,0.998621039460861,0.708581788297353
20,0.10899476184218,0.00780547146119466,0.329643491613455,0.150839745638759,2.62178427446484e-08,0.000102077187608588,0.0456504875741776,0.865382349555378,0.413019884941397
21,0.0913887489826006,0.00720838605138203,0.290785569487412,0.150109326183834,5.38367302947734e-09,2.82478065508356e-05,0.0325075775710669,0.947535549398978,0.40228508229164
22,0.120747644758219,0.0102961546849478,0.235511433512291,0.183519180986237,9.53718763945718e-09,2.81560139248322e-05,0.0645570547999613,0.972169721390453,0.513886910596701
23,0.14053323700781,0.0122320624240062,0.193306303361473,0.123471247683894,3.01192307467687e-09,3.05244239264588e-05,0.0350808068010985,0.993952690508023,0.478731628843023
24,0.116681307653343,0.0111248515817006,0.149771218988683,0.128050652982171,2.73894600511522e-09,2.65130050979245e-05,0.0493837611489179,0.994679911951329,0.500643271281908
25,0.11132422028526,0.0107635702995198,0.126838262513096,0.087273060250026,1.52803862615579e-09,1.92122574430052e-05,0.0532214121671911,0.996777242376025,0.48709493805957
26,0.104404738046551,0.00931610667392972,0.121445114527664,0.0878139741110624,1.51680367988175e-09,2.28016078491575e-05,0.0593129841210303,0.997159521250149,0.459589855126703
27,0.104404738046551,0.00931610667392972,0.121445114527664,0.0878139741110624,1.51680367988175e-09,2.28016078491575e-05,0.0593129841210303,0.997159521250149,0.459589855126703
28,0.149141857812105,0.0126799053958857,0.216116310321998,0.0928223711538972,4.43476708611848e-11,2.28408576709159e-06,0.0288061711212994,0.939048105025899,0.517207251533547
29,0.176483747128584,0.0142622283548596,0.213217258958421,0.139115601489649,3.10521235815282e-09,4.28428332230128e-06,0.0428791277744949,0.981390533352165,0.518770745730458
30,0.152673618698907,0.00987839369716982,0.235415960887809,0.103913069608269,1.61591619361343e-10,4.96319628413898e-06,0.0399424935151091,0.994894569119982,0.50333535178734
31,0.132818733444863,0.00926287971981178,0.161266282966434,0.10395682824274,1.61086993495571e-10,2.90185232896014e-06,0.0540495324635633,0.994310701275108,0.534553779468226
32,0.144614424664864,0.0115467796021407,0.138455742270541,0.075047064186552,7.54802786138851e-11,2.32888107193271e-06,0.061519784602985,0.996820200859283,0.538843035841966
33,0.139396925850474,0.0107412610538018,0.12731632665674,0.0733692362591946,4.04352561659773e-11,2.49630121426808e-06,0.0652115505925604,0.9971521763832,0.527107623478208
34,0.139396925850474,0.0107412610538018,0.12731632665674,0.0733692362591946,4.04352561659773e-11,2.49630121426808e-06,0.0652115505925604,0.9971521763832,0.527107623478208
35,0.178398297213882,0.0130051002972869,0.154566431002871,0.106766942850459,1.65821981606823e-10,2.409739414828e-05,0.023024143053179,0.90436105158562,0.551828438496492
36,0.33582854456011,0.0721608403399949,0.128670848848202,0.154247048594959,1.57214385334022e-11,4.89490095254379e-05,0.0242861524106948,0.964905217099714,0.732937226623132
37,0.379139962661115,0.0784680117688363,0.179742274514371,0.118689929358858,4.68769470957006e-11,3.97071043996129e-05,0.0265553634213098,0.984509256412545,0.75624420985577
38,0.395006272699387,0.0749193886808136,0.190212711443227,0.095482717475845,8.52727281770922e-11,4.05613835262689e-05,0.0376067388180571,0.993250945976213,0.692524511428195
39,0.398484782884495,0.0779760979166214,0.140727831903778,0.10959571958396,8.61242463137249e-11,4.98522475084667e-05,0.0522042715821884,0.996578004733799,0.681277169296723
40,0.381575270480037,0.0715508429164909,0.161832025812912,0.0987863914492628,5.3955523422153e-11,5.02425330124132e-05,0.0416987048971721,0.998943654646217,0.716488400570489
41,0.392159519439107,0.0737430322334473,0.140087075023071,0.102899713999858,5.13701188030077e-11,5.12366846338837e-05,0.0423111571393512,0.99954320217307,0.712652563567047
42,0.390041724939562,0.0730127923865136,0.123616473884377,0.105242212176575,5.02400160050316e-11,5.35673936293526e-05,0.0427343224208075,0.999726252146402,0.706726085221656
43,0.381900483832681,0.0703319542978592,0.122085751993242,0.111808710770361,3.49132776106397e-11,5.18174227981791e-05,0.0452512606107447,0.999763974715684,0.698443560378147
44,0.381900483832681,0.0703319542978592,0.122085751993242,0.111808710770361,3.49132776106397e-11,5.18174227981791e-05,0.0452512606107447,0.999763974715684,0.698443560378147
45,0.435590001651374,0.0806768943457833,0.174198959080442,0.105583705317708,2.57077206712174e-12,1.08369641714587e-05,0.0256805821168632,0.901418584448217,0.743383392657325
46,0.419047950648773,0.0708812909395859,0.249445203701607,0.0818068066694681,3.32612767080333e-11,1.52737714811182e-05,0.0242933121898408,0.965887575468492,0.759053003363726
47,0.380277657492359,0.0618177102910061,0.241910777824194,0.0575113252884155,1.11148554035556e-11,1.90228161838601e-05,0.0221041454068453,0.988240916804383,0.702865657854492
48,0.442542104972999,0.0742821648419142,0.179294557173439,0.0754704004250358,1.44374708805243e-11,2.64465795533051e-05,0.0352469704178791,0.995949668907986,0.71979874610325
49,0.48865952951071,0.0825162385419525,0.186250822420114,0.0619662476304882,9.46270504525578e-12,1.65340172542292e-05,0.0245759008049582,0.998671136564529,0.752801340700334
50,0.45226503238884,0.0770243263249539,0.13544903612681,0.0765280284756012,2.10154137551932e-11,1.91942795497879e-05,0.0411270897695485,0.998688458043093,0.710250361096257
51,0.427804448230378,0.070113004876142,0.134417001908984,0.0791104629442464,1.75473660493692e-11,2.31455620640852e-05,0.0392518390975384,0.999181928032278,0.702195458504187
52,0.440422091001816,0.0772397248566971,0.104810590386976,0.0807180986205037,1.5691735802294e-11,2.85480243091199e-05,0.060583760141115,0.998621039460861,0.708581788297353
53,0.440422091001816,0.0772397248566971,0.104810590386976,0.0807180986205037,1.5691735802294e-11,2.85480243091199e-05,0.060583760141115,0.998621039460861,0.708581788297353
54,0.10899476184218,0.00780547146119466,0.329643491613455,0.150839745638759,2.62178427446484e-08,0.000102077187608588,0.0456504875741776,0.865382349555378,0.413019884941397
55,0.0913887489826006,0.00720838605138203,0.290785569487412,0.150109326183834,5.38367302947734e-09,2.82478065508356e-05,0.0325075775710669,0.947535549398978,0.40228508229164
56,0.120747644758219,0.0102961546849478,0.235511433512291,0.183519180986237,9.53718763945718e-09,2.81560139248322e-05,0.0645570547999613,0.972169721390453,0.513886910596701
57,0.14053323700781,0.0122320624240062,0.193306303361473,0.123471247683894,3.01192307467687e-09,3.05244239264588e-05,0.0350808068010985,0.993952690508023,0.478731628843023
58,0.116681307653343,0.0111248515817006,0.149771218988683,0.128050652982171,2.73894600511522e-09,2.65130050979245e-05,0.0493837611489179,0.994679911951329,0.500643271281908
59,0.11132422028526,0.0107635702995198,0.126838262513096,0.087273060250026,1.52803862615579e-09,1.92122574430052e-05,0.0532214121671911,0.996777242376025,0.48709493805957
60,0.104404738046551,0.00931610667392972,0.121445114527664,0.0878139741110624,1.51680367988175e-09,2.28016078491575e-05,0.0593129841210303,0.997159521250149,0.459589855126703
61,0.104404738046551,0.00931610667392972,0.121445114527664,0.0878139741110624,1.51680367988175e-09,2.28016078491575e-05,0.0593129841210303,0.997159521250149,0.459589855126703
62,0.149141857812105,0.0126799053958857,0.216116310321998,0.0928223711538972,4.43476708611848e-11,2.28408576709159e-06,0.0288061711212994,0.939048105025899,0.517207251533547
63,0.176483747128584,0.0142622283548596,0.213217258958421,0.139115601489649,3.10521235815282e-09,4.28428332230128e-06,0.0428791277744949,0.981390533352165,0.518770745730458
64,0.152673618698907,0.00987839369716982,0.235415960887809,0.103913069608269,1.61591619361343e-10,4.96319628413898e-06,0.0399424935151091,0.994894569119982,0.50333535178734
65,0.132818733444863,0.00926287971981178,0.161266282966434,0.10395682824274,1.61086993495571e-10,2.90185232896014e-06,0.0540495324635633,0.994310701275108,0.534553779468226
66,0.144614424664864,0.0115467796021407,0.138455742270541,0.075047064186552,7.54802786138851e-11,2.32888107193271e-06,0.061519784602985,0.996820200859283,0.538843035841966
67,0.139396925850474,0.0107412610538018,0.12731632665674,0.0733692362591946,4.04352561659773e-11,2.49630121426808e-06,0.0652115505925604,0.9971521763832,0.527107623478208
68,0.139396925850474,0.0107412610538018,0.12731632665674,0.0733692362591946,4.04352561659773e-11,2.49630121426808e-06,0.0652115505925604,0.9971521763832,0.527107623478208
69,0.178398297213882,0.0130051002972869,0.154566431002871,0.106766942850459,1.65821981606823e-10,2.409739414828e-05,0.023024143053179,0.90436105158562,0.551828438496492
70,0.33582854456011,0.0721608403399949,0.128670848848202,0.154247048594959,1.57214385334022e-11,4.89490095254379e-05,0.0242861524106948,0.964905217099714,0.732937226623132
71,0.379139962661115,0.0784680117688363,0.179742274514371,0.118689929358858,4.68769470957006e-11,3.97071043996129e-05,0.0265553634213098,0.984509256412545,0.75624420985577
72,0.395006272699387,0.0749193886808136,0.190212711443227,0.095482717475845,8.52727281770922e-11,4.05613835262689e-05,0.0376067388180571,0.993250945976213,0.692524511428195
73,0.398484782884495,0.0779760979166214,0.140727831903778,0.10959571958396,8.61242463137249e-11,4.98522475084667e-05,0.0522042715821884,0.996578004733799,0.681277169296723
74,0.381575270480037,0.0715508429164909,0.161832025812912,0.0987863914492628,5.3955523422153e-11,5.02425330124132e-05,0.0416987048971721,0.998943654646217,0.716488400570489
75,0.392159519439107,0.0737430322334473,0.140087075023071,0.102899713999858,5.13701188030077e-11,5.12366846338837e-05,0.0423111571393512,0.99954320217307,0.712652563567047
76,0.390041724939562,0.0730127923865136,0.123616473884377,0.105242212176575,5.02400160050316e-11,5.35673936293526e-05,0.0427343224208075,0.999726252146402,0.706726085221656
77,0.381900483832681,0.0703319542978592,0.122085751993242,0.111808710770361,3.49132776106397e-11,5.18174227981791e-05,0.0452512606107447,0.999763974715684,0.698443560378147
78,0.381900483832681,0.0703319542978592,0.122085751993242,0.111808710770361,3.49132776106397e-11,5.18174227981791e-05,0.0452512606107447,0.999763974715684,0.698443560378147
79,0.435590001651374,0.0806768943457833,0.174198959080442,0.105583705317708,2.57077206712174e-12,1.08369641714587e-05,0.0256805821168632,0.901418584448217,0.743383392657325
80,0.419047950648773,0.0708812909395859,0.249445203701607,0.0818068066694681,3.32612767080333e-11,1.52737714811182e-05,0.0242933121898408,0.965887575468492,0.759053003363726
81,0.380277657492359,0.0618177102910061,0.241910777824194,0.0575113252884155,1.11148554035556e-11,1.90228161838601e-05,0.0221041454068453,0.988240916804383,0.702865657854492
82,0.442542104972999,0.0742821648419142,0.179294557173439,0.0754704004250358,1.44374708805243e-11,2.64465795533051e-05,0.0352469704178791,0.995949668907986,0.71979874610325
83,0.48865952951071,0.0825162385419525,0.186250822420114,0.0619662476304882,9.46270504525578e-12,1.65340172542292e-05,0.0245759008049582,0.998671136564529,0.752801340700334
84,0.45226503238884,0.0770243263249539,0.13544903612681,0.0765280284756012,2.10154137551932e-11,1.91942795497879e-05,0.0411270897695485,0.998688458043093,0.710250361096257
85,0.427804448230378,0.070113004876142,0.134417001908984,0.0791104629442464,1.75473660493692e-11,2.31455620640852e-05,0.0392518390975384,0.999181928032278,0.702195458504187
86,0.440422091001816,0.0772397248566971,0.104810590386976,0.0807180986205037,1.5691735802294e-11,2.85480243091199e-05,0.060583760141115,0.998621039460861,0.708581788297353
87,0.440422091001816,0.0772397248566971,0.104810590386976,0.0807180986205037,1.5691735802294e-11,2.85480243091199e-05,0.060583760141115,0.998621039460861,0.708581788297353
88,0.10899476184218,0.00780547146119466,0.329643491613455,0.150839745638759,2.62178427446484e-08,0.000102077187608588,0.0456504875741776,0.865382349555378,0.413019884941397
89,0.0913887489826006,0.00720838605138203,0.290785569487412,0.150109326183834,5.38367302947734e-09,2.82478065508356e-05,0.0325075775710669,0.947535549398978,0.40228508229164
90,0.120747644758219,0.0102961546849478,0.235511433512291,0.183519180986237,9.53718763945718e-09,2.81560139248322e-05,0.0645570547999613,0.972169721390453,0.513886910596701
91,0.14053323700781,0.0122320624240062,0.193306303361473,0.123471247683894,3.01192307467687e-09,3.05244239264588e-05,0.0350808068010985,0.993952690508023,0.478731628843023
92,0.116681307653343,0.0111248515817006,0.149771218988683,0.128050652982171,2.73894600511522e-09,2.65130050979245e-05,0.0493837611489179,0.994679911951329,0.500643271281908
93,0.11132422028526,0.0107635702995198,0.126838262513096,0.087273060250026,1.52803862615579e-09,1.92122574430052e-05,0.0532214121671911,0.996777242376025,0.48709493805957
94,0.104404738046551,0.00931610667392972,0.121445114527664,0.0878139741110624,1.51680367988175e-09,2.28016078491575e-05,0.0593129841210303,0.997159521250149,0.459589855126703
95,0.104404738046551,0.00931610667392972,0.121445114527664,0.0878139741110624,1.51680367988175e-09,2.28016078491575e-05,0.0593129841210303,0.997159521250149,0.459589855126703
96,0.149141857812105,0.0126799053958857,0.216116310321998,0.0928223711538972,4.43476708611848e-11,2.28408576709159e-06,0.0288061711212994,0.939048105025899,0.517207251533547
97,0.176483747128584,0.0142622283548596,0.213217258958421,0.139115601489649,3.10521235815282e-09,4.28428332230128e-06,0.0428791277744949,0.981390533352165,0.518770745730458
98,0.152673618698907,0.00987839369716982,0.235415960887809,0.103913069608269,1.61591619361343e-10,4.96319628413898e-06,0.0399424935151091,0.994894569119982,0.50333535178734
99,0.132818733444863,0.00926287971981178,0.161266282966434,0.10395682824274,1.61086993495571e-10,2.90185232896014e-06,0.0540495324635633,0.994310701275108,0.534553779468226
100,0.144614424664864,0.0115467796021407,0.138455742270541,0.075047064186552,7.54802786138851e-11,2.32888107193271e-06,0.061519784602985,0.996820200859283,0.538843035841966
101,0.139396925850474,0.0107412610538018,0.12731632665674,0.0733692362591946,4.04352561659773e-11,2.49630121426808e-06,0.0652115505925604,0.9971521763832,0.527107623478208
102,0.139396925850474,0.0107412610538018,0.12731632665674,0.0733692362591946,4.04352561659773e-11,2.49630121426808e-06,0.0652115505925604,0.9971521763832,0.527107623478208
103,0.18999493135192,0.0138807450639258,0.183457069993585,0.117290161333651,5.29775652983752e-11,3.22500437511465e-06,0.0603117946913268,0.936525308848359,0.530656199233114
104,0.39347219356142,0.0700399881876129,0.0994887095655247,0.12051170212536,3.50954453833945e-10,3.79856669215234e-05,0.0477675036923971,0.977784897452965,0.695616394514355
105,0.396824191100618,0.0715022683566853,0.149443362770639,0.0996695072880641,1.00102052096178e-10,4.39739293380999e-05,0.0252530422983284,0.994981926980497,0.730442280996876
106,0.403973671445656,0.07336221323915,0.175154585116105,0.0964110539939874,1.35682951790819e-10,3.09262795166114e-05,0.0435340658604507,0.997569454369531,0.62682381378529
107,0.402251191716276,0.0734736429814453,0.144042310212618,0.0997390524326132,1.06829035272983e-10,2.67006154538176e-05,0.0493740031720531,0.998963247143698,0.678662779416056
108,0.421870958774522,0.0793436504310538,0.168599745657343,0.0813844358253275,1.37882292906395e-10,3.11372004208323e-05,0.038464180212688,0.999765367928308,0.727619816700922
109,0.436944784298229,0.0821467320548014,0.138557912176689,0.0795470477257484,1.07856520436944e-10,3.24506637062267e-05,0.0360400503935634,0.999901457183128,0.725320659780628
