"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.0264826889738219,0.143390540592087,0.0109674366990661,0.138582223523707,0.00458367062873031,0.0319278986874059,0.153213880589659,0.838063921297447,0.406815177484289
2,0.09188085793755,0.0920025430578365,0.00652658190544033,0.0813985993513811,0.00136155975856737,0.00017528199217751,0.094996393360713,0.935987466446891,0.524142685825024
3,0.113378826686761,0.193347600637659,0.00317263498853652,0.118222165826338,0.00231197318000227,3.34333453228326e-05,0.05184721770119,0.978957375174772,0.593238541287625
4,0.0917065325302956,0.186034126458412,0.00256037716699834,0.135585683885948,0.00240761022010588,7.0542887100023e-05,0.0337669133615568,0.987019994246583,0.516465110690649
5,0.0962205061110279,0.216346048025345,0.00221151317990835,0.14662211360556,0.00329418154647688,7.7849186497611e-05,0.0328190663720739,0.995806430613812,0.510854238623144
6,0.0997580289571184,0.224318430440425,0.00151945590492301,0.129690259218585,0.00287943728311448,9.8537111598984e-05,0.0233161354548025,0.998549035355342,0.465960821699242
7,0.117886912847387,0.227490220995125,0.0013769553424038,0.126192802361699,0.0040142092340441,5.11410304310365e-05,0.0252879079374704,0.999673464191781,0.43370633501891
8,0.11637731654702,0.218777720195055,0.00162530978347986,0.119237458111121,0.00363535375950874,4.04467940431142e-05,0.0301471963828701,0.999824842880492,0.43914365478249
9,0.114551393863568,0.219683194366355,0.00155992017725785,0.115511208361273,0.0035370255427211,4.77389256718787e-05,0.0299784696583006,0.999854304304876,0.448555021478011
10,0.114551393863568,0.219683194366355,0.00155992017725785,0.115511208361273,0.0035370255427211,4.77389256718787e-05,0.0299784696583006,0.999854304304876,0.448555021478011
11,0.142218405960399,0.102087808808516,0.0131420817755761,0.0813604485540144,0.00959427704426248,0.000353592808014015,0.138748480773689,0.894302763280419,0.569885017035145
12,0.165017896342157,0.205167130443847,0.00541646002102578,0.107429245440274,0.00527499662591114,0.000106534244940918,0.0690553959131613,0.958122479514693,0.598907650974767
13,0.146506923156321,0.223289041878704,0.00499619612173111,0.152414588729437,0.007827211349887,0.000303351354537008,0.0594762638822032,0.967965423068617,0.545594512630066
14,0.154519314780631,0.229307601319123,0.00445294925864569,0.194224700127339,0.00862324423603866,0.000393608287289748,0.0565671092320898,0.988571331921644,0.529685192507187
15,0.137946096175678,0.243558551782409,0.00201287253453954,0.188165189454203,0.00587333417046084,0.000301985266171059,0.0265092280886519,0.994791369921695,0.50924363878967
