"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.0783855233397969,0.000684100630724861,2.89802116862265e-05,1.5829988247103e-08,1.12644146635922e-06,0.110937270345984,0.0039737714238792,0.348855382837983,0.55014109391228
2,0.408888387204561,0.029129317703952,0.000221523404888299,1.79791490487141e-12,1.44228663576057e-09,0.00738895783864445,0.00693524487008113,0.69638428075624,0.593025841301623
3,0.484146838148549,0.0462229701887063,0.000134356177980856,2.76668628276138e-11,1.56556556687881e-09,0.0037513272553685,0.00577106638769112,0.858908676262259,0.616273283290426
4,0.447474285860985,0.0380510543763835,0.00012908774075203,5.93489966022687e-11,5.75843057380842e-09,0.00803489293692441,0.00651643395261096,0.935028176530289,0.64950336534223
5,0.478861339256405,0.0351028048811014,9.06113960643773e-05,6.98702375061821e-12,1.13573980574086e-09,0.00731831311011781,0.0049004403972235,0.945735485894124,0.651370503827714
6,0.441773279898899,0.0519064218395832,7.68326127962168e-05,3.13360953988272e-12,3.45193054497588e-10,0.0125738668246284,0.00461646085374958,0.947679967535037,0.61149138530794
7,0.431297892032915,0.057627428281324,0.000123174797817104,6.48212529363373e-12,4.4956460334704e-10,0.0116446584117404,0.00520206885282054,0.963570661168138,0.635888690178322
8,0.441234105447907,0.0539321270276401,0.000329200190155546,9.40973201939482e-12,6.15443761810074e-10,0.0105437173979027,0.00885204207738663,0.978943089672867,0.640034778543408
9,0.399475149144843,0.0621756395485181,0.000252402023639376,3.85886295360135e-12,5.4290683497156e-10,0.00706941958298491,0.00772799987474516,0.984536865968929,0.626224346687748
10,0.399475149144843,0.0621756395485181,0.000252402023639376,3.85886295360135e-12,5.4290683497156e-10,0.00706941958298491,0.00772799987474516,0.984536865968929,0.626224346687748
11,0.50276224862169,0.0280776931530074,7.15266500622554e-05,2.93949271212059e-11,7.01121455228242e-09,0.0111332064073225,0.004710198742193,0.266094926113415,0.703754384072258
12,0.718701808151228,0.112617818572214,1.56784360888849e-05,5.02844183305343e-11,2.50666106237977e-09,0.00441233995091507,0.00189483244221728,0.41300039021249,0.760045917782093
