"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.000625296091244316,4.35689865870665e-05,0.00047381304941303,0.000244254421930705,0.000138058326886999,0.182447138957887,0.00511413335882007,0.450264445490194,0.599766861906847
2,0.000908150699896765,7.04622385024412e-05,0.00123368998633311,0.000454749840039011,0.000610685675584141,0.159493729807928,0.0125186468964585,0.905816891575171,0.599907517217287
3,0.000120266517313563,2.05329611762826e-05,0.00160821460516297,0.000222198434609624,0.00020217455056261,0.21030835537247,0.0165306742324839,0.953226469284206,0.526448062205469
4,3.79991357069215e-05,2.63448254538544e-05,0.00137833918099884,2.54927333297772e-05,5.15547731255248e-05,0.194571260614265,0.0202589881891631,0.999206648207974,0.436615704372474
5,0.00099432336847138,3.56341729788325e-05,0.000435314234290627,3.46403690208855e-06,0.000143120106415628,0.159625652907375,0.00598492573287213,0.334658876041307,0.554153325170785
6,0.000371293803083083,3.23408024625075e-05,0.00109668827039686,5.03365132125083e-06,0.000167163579905191,0.191049456505872,0.0141179212217408,0.890292100496725,0.548631254005322
7,8.3067504426017e-05,1.74440289465854e-05,0.00129535789128408,9.67367248708632e-06,2.68182000162166e-05,0.166092825945382,0.0188749261072608,0.995742406143035,0.451192749566737
8,0.000390023173052461,2.53461665523954e-05,0.000300166235520294,7.49014494978552e-05,5.43596469349895e-05,0.171318661261353,0.00535257406721284,0.440156095810514,0.537590297847847
9,0.000119265383722842,1.89036785004921e-05,0.00101926815259843,5.09484813022842e-05,1.5659321740029e-05,0.189864841827267,0.0147222382597836,0.982422516453627,0.424940841593708
10,0.000266336886355495,1.28327567592833e-05,0.000187644780179278,1.15673829428637e-06,4.87994180423263e-07,0.0143339775075696,0.00588517753200487,0.829036916080551,0.981091191124807
11,0.00020049485230892,1.61626980381183e-05,0.000202402520299418,2.0677982198556e-07,1.19116462506567e-06,0.0170027307447192,0.00522562578352372,0.931730793094463,0.994339860818406
12,3.81034181804338e-05,6.09343954703038e-06,0.000470691044538938,6.36493251478589e-08,7.81840987427331e-07,0.0207447075746888,0.00929292827838139,0.977656426276493,0.916409089621325
13,1.98207753896889e-05,1.22065687539309e-05,0.000898272454338539,1.89800064233748e-07,1.72085815214237e-06,0.0248224277557113,0.012508911081666,0.999860346114557,0.887708259599255
14,0.000437185859648576,1.35598831096101e-05,2.48992241850866e-05,1.32751436638905e-09,7.92290235812411e-07,0.0211609648057741,0.00144779945707692,0.872959634452157,0.97087241857049
15,0.000170775505782114,7.70381934675759e-06,0.000131950902678994,8.10460675448942e-10,7.63512322808683e-07,0.024432973204245,0.00457778337733176,0.965936567816379,0.927292422390202
16,8.89268196626846e-05,1.42679599801309e-05,0.000594949054755511,1.05492642561428e-08,7.84460351068417e-07,0.0274220353215182,0.00991388959940532,0.999294065908389,0.890781856874595
17,0.000299933363284385,6.30814002117526e-06,9.16675203561905e-05,1.56061183902717e-07,3.29787464422503e-07,0.0277078834749014,0.00534840093509902,0.907355986571868,0.893091178621658
18,0.000100427572306971,7.62498145405493e-06,0.000145807504408921,3.30131623971115e-07,1.59407927714883e-07,0.0274301738140983,0.00530309570721614,0.995551382572326,0.883096341900419
19,0.000116356802260238,7.28684395298957e-06,0.000101921620715787,7.10151710497092e-06,1.99909519771411e-06,0.0116104395037449,0.00232199525833328,0.966784297356679,0.948246683198506
20,8.1027351828537e-05,7.52977847739405e-06,0.000240489918265818,2.70230869413551e-06,5.60104397828237e-06,0.014138811105225,0.00393706801022101,0.990909326833552,0.958742599588022
21,1.75933726104462e-05,4.05271616832778e-06,0.000404462700952268,3.92398645809444e-07,3.01089685460865e-06,0.0172640792169939,0.00614655383650606,0.997298263116587,0.971689248055025
22,1.15825374874019e-05,7.60231432189072e-06,0.000957666485580662,1.21755296610178e-08,7.47836385752734e-06,0.0163951163216098,0.0123621697337827,0.999992565136901,0.933021792447611
23,0.000293406027558325,4.74154164850362e-06,0.000110143991499898,5.1017497482593e-09,1.08380435379664e-06,0.0152440916679297,0.00346332875057783,0.970908725020711,0.97637990456911
24,7.47313523353979e-05,3.51352039437555e-06,0.000240054296979522,1.66669280063168e-09,1.57811249858546e-06,0.013499360326738,0.00567873865231571,0.990203811966979,0.996294190590894
25,4.16736488810006e-05,8.77667479097283e-06,0.000576064877303062,4.31670817304507e-09,8.79383347733553e-07,0.0153922082528648,0.00966916414918449,0.999890385029043,0.936926534768643
26,0.000117335380702032,3.88958510920967e-06,0.000232408652736911,4.49490933631278e-07,1.28774757716107e-06,0.016551847899986,0.00607106655869291,0.970931429884537,0.98706413392945
27,0.000132463822154366,2.41337636190264e-06,0.000203759978049989,4.02482519462154e-07,3.82170820695649e-07,0.0231753491437122,0.00578491359873058,0.999136153528235,0.934542054538936
28,7.68572146904846e-05,2.10444135384552e-06,5.79966098773025e-06,9.72186694232852e-07,1.11305621616611e-07,0.0145333623650724,0.000260310038097803,0.996450693071991,0.986471989428385
29,6.74017970614505e-05,2.4614387085105e-06,2.70708825077661e-05,2.36605160345055e-07,2.51143922637798e-07,0.0160559820217188,0.000761816921557192,0.998951195797006,0.97630968526874
30,8.48890860605382e-06,1.32780835120959e-06,9.35516482186085e-05,2.328689777035e-07,3.19700236836771e-07,0.0177925229890495,0.0020149051176888,0.999767663141391,0.959493461073885
31,4.67777468418584e-06,4.97502106791214e-07,0.000171430131870598,2.14099484717022e-08,2.33215718973957e-07,0.0170041172965523,0.00322440103423735,0.999999618230555,0.942591300552667
32,0.000155494102703478,4.37042290855855e-06,2.67339219408232e-05,2.95283469601097e-08,1.81023007671613e-07,0.0163395159733876,0.000942185497476017,0.992979033579084,0.990434392957645
33,7.0294120550059e-05,1.75386174081767e-06,7.2457059881795e-05,2.48103090691794e-08,3.1961342466214e-07,0.0162275345329131,0.00196249885607412,0.998382309297597,0.975454723695326
34,4.02209557186113e-05,1.20342928807808e-06,0.000141616624244453,5.22921689831042e-09,3.26090454808371e-07,0.0178722039136517,0.0033519791232463,0.999995713128054,0.955680825909107
35,0.000130072531674633,8.63980448935566e-06,5.33804197011037e-05,1.38174415034854e-06,5.1359776156233e-07,0.0184534366450119,0.00151985861005275,0.99470418850205,0.972115732759873
36,7.47785490865065e-05,1.5221145393243e-06,0.000131402662611036,2.53567374467839e-07,2.77460901435886e-07,0.0229918092587668,0.00313594299543903,0.999978691126865,0.953520148310676
37,0.00110169367807348,6.40180220076691e-05,0.000320461168853169,7.70467308338161e-05,1.73213532404814e-05,0.0824349266055231,0.00432479425662836,0.451679954436874,0.764894067515106
38,0.000722421537802402,0.00010704592619715,0.0011073432780786,5.43148631916225e-05,7.93465648891768e-05,0.0684598870233065,0.0107223258649554,0.873742179265974,0.74399614364935
39,0.000178991784602998,3.13055159278635e-05,0.00102014106241949,3.20346413390644e-05,4.33544707243463e-05,0.098787901155391,0.0109960394511469,0.939853562286391,0.656073403605852
40,2.50518086575139e-05,1.51333805219539e-05,0.00114301581487732,1.81540203860148e-06,3.03106146240555e-05,0.103532486606243,0.014474100606242,0.999117035821745,0.604468645256224
41,0.00157551262603402,4.99170562690735e-05,0.000251717221060457,2.22618965894859e-07,5.46414183844957e-06,0.0672775925002967,0.00431842539450507,0.394870242675989,0.747131167873764
42,0.000433465333869702,3.17475036707723e-05,0.000624047158231757,3.67963841273072e-07,1.63272950711082e-05,0.0962217874106821,0.0101417745380412,0.873113664887076,0.663373118705972
43,0.00018535765330878,2.62531066361026e-05,0.0010878084431668,3.79204470128262e-07,3.71627229818763e-06,0.111336922549334,0.0156274420025693,0.994578744644972,0.61571426442991
44,0.000930887029992331,4.84008785191929e-05,0.000284172193775566,2.28517493208943e-05,2.24721969040439e-06,0.0860050885650865,0.00512553104746133,0.509580977385447,0.665513693194612
45,0.000275602934907759,3.6655851895931e-05,0.000537076507811496,1.5166703309382e-05,5.24106988107118e-06,0.105582650820711,0.0104029707843772,0.973226175491689,0.633594790846438
46,0.00170962613534768,0.000104756909331701,0.000270638346600493,0.000101049660200067,3.73079901327035e-06,0.0217810199842102,0.00551135627542948,0.895571562826723,0.983664532810391
