"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.000315253094199954,5.68528248799627e-07,1.58660567222982e-06,0.031092004943018,8.49725475871871e-11,0.00280850480602928,0.00133958208895222,0.402890845735885,0.701115007216148
2,8.55448787838492e-05,7.00115190228979e-08,6.44287323544658e-06,0.150596687452176,2.22162477047359e-09,0.00384503889467401,0.00123274618748448,0.887850702162463,0.635116761710671
3,0.00011030395045236,7.39987522413481e-08,3.76798893240163e-06,0.155353624778298,3.97151273703621e-09,0.00322529456003009,0.000609040690320742,0.945081590528293,0.636031257566626
4,0.000286415111228548,4.92881530437844e-07,1.24556362309157e-05,0.249671277371064,8.75486836799568e-09,0.00593924494442784,0.000893282177703594,0.998462202665657,0.649594097769626
5,0.00041320104905785,1.9237200950672e-07,4.09556492757181e-06,0.0180877084073079,4.07002616119208e-10,0.00300955482128573,0.00250843186993406,0.286576703988037,0.203710465974382
6,0.000445730022511508,2.40696112270256e-07,1.10432843288938e-05,0.0379057787973786,2.75757890901803e-08,0.00563855104667003,0.00178882760367193,0.865131458369007,0.631985292120634
7,0.000310060739998828,5.23885965314945e-07,4.9094364800984e-05,0.0907826770936518,9.57953607121622e-09,0.00619952725502729,0.00362581525076197,0.994145210089073,0.572862617301293
8,0.00100156949305001,7.96536993551547e-07,3.04761504665778e-06,0.0211012921031495,5.35287167829915e-10,0.00347735717514043,0.00363336200365654,0.332404302671559,0.531114965188556
9,0.000395119026911193,2.69713476015724e-07,3.95040343487842e-05,0.0745953984866231,4.07077439405971e-09,0.00453576803773046,0.00408174496074342,0.981573863548495,0.550354524641381
10,0.000305134171076059,7.90222496143989e-07,2.71171195713785e-05,0.0404894023850122,3.29801758715081e-10,0.00412407323590668,0.00380174077739381,0.836644398158214,0.625990879842982
11,0.000293824083945357,2.29516126744255e-07,2.03196200204705e-05,0.111426547668578,1.62327450956441e-09,0.00491365119017369,0.00248404121546779,0.928756714300312,0.609243746250461
12,0.000285382894903366,2.71625071235259e-07,7.82422278861215e-06,0.120279513547763,3.42455059250958e-09,0.0039853069363011,0.00102851236748377,0.969307548629659,0.620741576174239
13,0.000298126379257486,3.07722134374432e-07,1.25885677932935e-05,0.218971513263544,7.99454233496457e-09,0.00752580870520633,0.00103277264367392,0.999225870562137,0.620879208280067
14,0.000506994029189719,1.17853279701522e-06,3.73535564106273e-05,0.0268008409157501,8.17543574651342e-09,0.00617507286035078,0.00444570157172705,0.858890797454496,0.576566391073977
15,0.000259594434525766,6.2573200441309e-07,1.01086093857166e-05,0.0193290252774252,3.64187973257927e-09,0.00336195645552709,0.00180578684173891,0.891998332161925,0.540513723617578
16,0.000362555639579375,2.16680762422514e-07,2.90345921242012e-05,0.0680879581159545,5.52714867245975e-09,0.00711940055872238,0.00273064068323839,0.995988909410299,0.53002278710681
17,0.000572813594959112,1.08539016645332e-06,4.5919355075235e-05,0.0303972655876414,1.01749173507031e-09,0.00172635091706855,0.00648825363680317,0.761531312072596,0.560827854266108
18,0.000554833175873659,2.52709545836071e-07,3.86394820058372e-05,0.0719188901134331,2.94820717342688e-09,0.00516129552598221,0.00426155873970089,0.982497704698167,0.540205611200188
19,0.000486496004675639,1.56026231851344e-05,2.95849427465948e-06,0.0422530612788976,1.01864785817837e-08,0.00237656976523949,0.00133897664507819,0.918672712825291,0.662257506704859
20,0.000559887824825202,6.13617661878109e-06,1.39333036780166e-06,0.0817499189170453,4.51793511804872e-08,0.00441431168733268,0.00056733071636053,0.968806224353054,0.671123895458914
21,0.000513843677102132,1.71731767321999e-06,6.43206986750309e-07,0.125761277673716,5.64892276923491e-08,0.00334508755273108,0.000200650823464373,0.989995346490756,0.691075476284667
22,0.000400299183375486,1.20164533726738e-06,5.53637905809859e-06,0.22572038327669,5.12151897899189e-08,0.00500560355824631,0.000559725435522145,0.999907516441123,0.651404054394926
23,0.000636409059409614,1.01798511335645e-05,3.04845490644033e-06,0.0237146780683677,5.99524481076506e-08,0.00362377182933471,0.00132118364550089,0.910523741925462,0.638495877908489
24,0.000453389144609939,2.5988286243699e-06,9.68292459679141e-07,0.0167998822969274,2.80665762144378e-08,0.00345881084852594,0.000490632486617507,0.95570308981773,0.612396897757542
25,0.000350673280111783,2.04700346909657e-06,3.71886155314224e-06,0.078287213577217,2.2143270898417e-08,0.00378164956263197,0.00068272504464167,0.99872501320717,0.602363922970659
26,0.000933637703938714,3.42465889951024e-06,1.22181095864391e-06,0.0322869196258993,1.59981608937442e-08,0.00183999186852676,0.000953911318280565,0.910751958923043,0.632251074557185
27,0.000654169349986254,6.20015791441679e-06,3.45304639014551e-06,0.0771562990664216,1.66253790470037e-08,0.00275063489851753,0.000912944034491247,0.993566397574096,0.609847026824498
28,0.000696247801919541,4.16318256405959e-05,8.22680920740862e-06,0.0252509085418065,8.05823894875565e-09,0.00324000033934336,0.00180319984723199,0.995193903166653,0.66401582307882
29,0.000665266873264959,3.18681602434335e-05,1.37089985626714e-06,0.0730707178277229,3.24651190826157e-08,0.00628077610048354,0.00044951971090669,0.998260399919725,0.609954545415708
30,0.000921032151619497,9.72483034123255e-06,2.213385415661e-07,0.149325158490056,9.02235855639258e-08,0.00789939107612899,7.46296370588854e-05,0.999470192849585,0.645211356380473
31,0.000537840844806231,1.72898594289247e-05,9.95704031103195e-07,0.179367638087417,1.11905105837089e-07,0.00905987691338979,0.000196968575273367,0.999996681343607,0.630814165349994
32,0.000596474020065963,2.55149010673623e-05,9.04014497707057e-06,0.0161884284037077,1.73730281713745e-08,0.00347099291360293,0.00214388460468241,0.994756766601451,0.574160868329639
33,0.000534886294246596,8.12024960288731e-06,2.27464085409858e-06,0.0232861096543335,2.48632356214288e-08,0.00543105543119555,0.000700883672901612,0.998624889490137,0.584273676237482
34,0.00043315588327576,2.35171484396888e-05,3.19652011031325e-06,0.0491487874357567,3.75743708734556e-08,0.00759319910488202,0.00061625351846422,0.9999861219555,0.581160177106489
35,0.000967627819310528,5.93915172958462e-06,1.04012769084106e-05,0.032738280734915,8.74709807824344e-09,0.00254515932543405,0.00195667282101505,0.995165077816845,0.625713837672641
36,0.000653901469268224,2.24119432367514e-05,7.94533257380498e-06,0.0503801497767822,3.14264470063455e-08,0.00499155444107517,0.00125917810333357,0.999924217269318,0.630779201833312
37,0.00021134708955889,1.4513334461743e-06,2.52316491718125e-06,0.0178391512202618,2.44659469230521e-10,0.00348477943235433,0.00211990574974731,0.402624011622528,0.685256069536727
38,0.000113661076196075,1.1136641883116e-07,7.23850245728087e-06,0.103593501205183,1.32507959989996e-08,0.00592709322845063,0.00143275584697998,0.900365361834823,0.527795440451335
39,0.000123350389542826,1.92854378748789e-07,2.07841656019042e-06,0.109144512577525,1.7793485350018e-08,0.00533818659131484,0.000437087128490069,0.936581896886368,0.539639293238018
40,0.00017331612907502,7.57729808455164e-07,6.81598365664386e-06,0.201073251861679,6.38350752743931e-09,0.00546498416134354,0.000706021344445417,0.997927213372736,0.58215331689031
