"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.66536190731355,0.874242399897405,0.093080488074587,0.219982297835867,6.5986550722953e-10,0.598478043159173,0.828101875686658,0.317891647396784,0.681581732158048
2,0.66933149563496,0.829808326358556,0.0789235825581203,0.221836977920513,3.27625678420931e-10,0.580444498940879,0.656499092374902,0.866039004161988,0.71447278705536
3,0.54430989067054,0.97109192383393,0.132713360740188,0.152912538352274,3.59201214869294e-08,0.517811259366721,0.560019328848928,0.978379209909521,0.769820968860566
4,0.455060279486349,0.77855472617899,0.153197714463022,0.183455248230966,3.34327680619985e-08,0.377678883432688,0.544930894047478,0.999356714647712,0.796932403482733
5,0.539561308163619,0.989715225144338,0.109774885875938,0.188545695908642,7.32111214931318e-10,0.565107202324126,0.872705362965301,0.3922372596345,0.740911605199895
6,0.436781019265249,0.84122186834238,0.125966856775831,0.162311137252963,4.06925733282146e-08,0.53554008714282,0.707056795951115,0.909497578379739,0.82374070394478
7,0.505043575122996,0.834071935755938,0.145525806447432,0.24404686443252,1.39301890499866e-07,0.420879473496577,0.68762808022658,0.997034118170433,0.798490083433588
8,0.588050777898691,0.942682831245306,0.110983384154275,0.180270669990179,1.1285096257036e-08,0.579578931988139,0.890339974859058,0.405528200139062,0.734207848224774
9,0.668288107719964,0.871698079208708,0.0864419592594691,0.259771612684786,1.01421659221811e-08,0.506485329052065,0.702319275376688,0.988525111496585,0.760989725283025
10,0.350843493732777,0.157405652147357,0.287372720237469,0.335231223059898,3.08550533681627e-21,0.122657115934746,0.0134597455240057,0.854637390861314,0.313109961450388
11,0.423642190002034,0.190415342183074,0.316176036020788,0.301793988920775,1.80246497526862e-20,0.110443042939244,0.0138757935575338,0.936193948810519,0.334244208610824
12,0.661452429995883,0.374082618172052,0.497266774236772,0.218441910131568,2.52447475980628e-18,0.0751913924672227,0.00783683160180173,0.978371175378746,0.425137475605949
13,0.811800772143689,0.451249046265948,0.424088727429678,0.160335883577564,1.26533193027279e-15,0.0686666220955279,0.0391387613532923,0.999399901004705,0.499575105437908
14,0.399740943139406,0.170429341702773,0.25400098244732,0.297195416213591,8.57752170545758e-20,0.119133611294482,0.0177472691972573,0.830829156497407,0.320010395310297
15,0.602788263668774,0.295537436689155,0.328636724017817,0.231451829390057,8.91305173562046e-16,0.0844047931637385,0.0214678424887418,0.924210542834727,0.419343710738319
16,0.65493210795277,0.344041686824765,0.470534303940683,0.13950417661048,1.21815876155514e-15,0.0692746571024571,0.0508520949155128,0.995097799835057,0.464072698478799
17,0.425848769278767,0.184673861812012,0.268931654279796,0.226834137403242,1.88064015348716e-18,0.113700265945258,0.0141941743683695,0.833613593914174,0.367503462809148
18,0.537247587169559,0.272561234158658,0.311924464236336,0.0868696867517091,5.37660821253896e-19,0.105201581111479,0.031927520992894,0.99320539926604,0.438135078774434
19,0.428062633291462,0.267664073612022,0.569562002027891,0.537478483447227,1.35075295407032e-18,0.077865417886303,0.00482619601788487,0.873888337225794,0.34244686012639
20,0.584516450162926,0.356805393409804,0.615573373188595,0.297474887929986,1.02789767823967e-17,0.0672306153976598,0.00593449454477544,0.963502519271531,0.378132477719529
21,0.832451864740782,0.525983153343966,0.796508170023112,0.214806178506549,1.49296718678095e-16,0.045848263383478,0.00506257857843682,0.990718611385992,0.452336136739029
22,0.947597923496272,0.598563330724668,0.63735747403196,0.10014360163733,3.6162413496454e-14,0.0403425977735846,0.0214064053715663,0.999648877389172,0.533458470695152
23,0.554356139143044,0.330711405679446,0.621815987343889,0.298731683105148,3.28352694132416e-18,0.0698084214686207,0.00709605290730235,0.857724063833273,0.370616796675466
24,0.794908720024539,0.48282995966916,0.622387116680013,0.277691907079696,1.00333464447909e-15,0.0550393269267658,0.0100931304315307,0.925045003947128,0.468933478032994
25,0.827611810144746,0.487874838794896,0.640337069067578,0.182975734849305,1.81053303236525e-14,0.0503023971827462,0.0333800631623121,0.997389239846689,0.501635043543618
26,0.554198430982106,0.320256725421279,0.498071351550564,0.477032318742926,4.34195715739518e-16,0.0600217030843264,0.00908172495882118,0.849368705118743,0.385772813171978
27,0.648501528771574,0.380927720693766,0.56865044366385,0.239101275787691,2.2689205026276e-16,0.0507524799215855,0.0239823215550279,0.99393387764717,0.437225914101101
28,0.419507140570335,0.259050622011649,0.615886788986729,0.259520717486533,9.39033278481676e-18,0.0605261344346164,0.00452860354152278,0.993309541392935,0.331216274424209
29,0.51593208675926,0.326697664803904,0.723231626902095,0.209060380323278,1.98626969754633e-17,0.060741939259584,0.00489468603768712,0.997713520083948,0.361499533367262
30,0.787930045339601,0.524341879304479,0.936709658893125,0.158700834863779,1.88714940613162e-15,0.0368098813573718,0.00491482845517108,0.99916909555054,0.462493005837085
31,0.993568324443299,0.713647370487373,0.714909308821922,0.117318565319333,2.1223640352144e-14,0.0385949642818439,0.0118100998743683,0.999995014305849,0.528902456455765
32,0.485947174197133,0.299945461625841,0.607315330026746,0.220324398949288,4.32691764396766e-18,0.0668972389210152,0.00483671461429827,0.986744429290676,0.350513663901855
33,0.751284786448681,0.471025623069977,0.72120858835736,0.147495041491497,8.43274586462142e-16,0.0473473364761373,0.00500150767457238,0.996484437391463,0.441100327505987
34,0.906735651761391,0.613815040367023,0.622174634801993,0.09750553918164,1.04203914357074e-13,0.0382647786048784,0.0208972072081347,0.99996661728572,0.491074475541679
35,0.48689858507628,0.290215625421578,0.575309291690168,0.322707281742118,1.06384873918952e-16,0.0529854348701101,0.00526209571626914,0.99084026910321,0.355647583749636
36,0.724346160444587,0.47429926016436,0.574632077771646,0.200617888422259,1.58741554367884e-14,0.0422802535931359,0.0212189971811142,0.999751360590524,0.423567957810335
37,0.5868979525791,0.331679178556327,0.296353319560914,0.390863482152227,3.45712028554073e-12,0.178865074904115,0.0907531489097288,0.366360055928698,0.475441963166159
38,0.592830539702766,0.287936760114886,0.200715992923723,0.172269399178139,5.12148891474801e-13,0.144859708076327,0.0568795113281775,0.941478971434569,0.41641202121404
39,0.916561485359101,0.562759420348092,0.317122409528178,0.146494831891469,1.10641295755964e-11,0.103899698999863,0.040864013508101,0.976599342187251,0.523603073830672
40,0.954716857624096,0.762376733903744,0.425350167343448,0.172767462669454,2.63669394251803e-10,0.104352974444312,0.106513661424852,0.994643222744891,0.59785078121159
41,0.684618942822065,0.390291165247315,0.329348684987026,0.323336673219436,6.76641440784251e-13,0.156969931536985,0.0708500173102487,0.35968314663614,0.475186089182426
42,0.885461390839868,0.565747955512346,0.230161580761339,0.255417283240853,4.42709958842632e-11,0.1292551927066,0.0657759901004332,0.93357340382246,0.522076600242417
