"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.0195381213721403,0.0583968488990371,0.0117344678536244,0.0807984532558663,3.44323453831484e-05,0.000166341907514518,0.122741158290336,0.266025021087195,0.359353030769348
2,0.0318743484852695,0.0727431981851216,0.0745367951430016,0.2014277632989,0.000311189483373854,0.000103005781283403,0.257876056191585,0.853773536351224,0.477383143474802
3,0.0301282568300929,0.0975268638097844,0.03834847081914,0.221915201076431,0.000338015686550536,0.000110499672212454,0.162270360194015,0.930738049646523,0.501896848056961
4,0.0351960660774693,0.131752809429284,0.0191002867041641,0.29590238999934,0.000864920015089859,0.000128647000776872,0.0935288980752538,0.996285976481195,0.441077243727737
5,0.0286452096635511,0.0989877272095712,0.00446537425053836,0.173626247666378,6.59626092336019e-05,0.000195093057127407,0.0479235113380376,0.276109708856216,0.474224519836395
6,0.0377254569005596,0.119902849939499,0.0174598494653352,0.286473733911568,0.000168535976932696,5.91027446591009e-05,0.0940780247710278,0.811201227457624,0.484722353389333
7,0.0365177807873226,0.132829354925076,0.0270392129193458,0.341948318401595,0.00138769081712186,9.92838129318011e-05,0.107249943435818,0.989731680569288,0.4623284588608
8,0.0236132058272667,0.0374230240170458,0.0122036968537265,0.0541635907669008,4.56111991866149e-05,9.71838963393952e-05,0.193202607754849,0.203414853363303,0.209199378710241
9,0.0448502329210212,0.0618607017268236,0.0345963554746756,0.0940722712464008,0.000512327170748333,4.73626296918074e-05,0.254525251455287,0.964527449618675,0.477391711993069
10,0.0212770189822846,0.0790478756097853,0.0187150534440799,0.0965187268772502,8.35613467224315e-05,7.11380263499058e-05,0.139418308698941,0.733352900031623,0.438359494476126
11,0.0242693438575505,0.0819598812680773,0.0360747490888767,0.172050546989434,0.000154143774357948,0.000130099424081053,0.179759699687161,0.889897555405043,0.391847681756716
12,0.0251308047993007,0.106462391201831,0.0133070684618449,0.200049150911394,9.0313573251564e-05,0.000105930569345619,0.0892649871215555,0.944196177951394,0.486109730857529
13,0.0601859622199411,0.13329187829941,0.0093548999694967,0.251405182319105,0.000367664721122804,0.00024915324842889,0.069729686462895,0.99863656666337,0.413579952554508
14,0.0220486903657932,0.0923365558702813,0.0125815585515152,0.191225462987985,0.000157186232376138,0.0001051548778389,0.0964201982218236,0.727589898715624,0.417110267852594
15,0.0268303534256591,0.121967043338187,0.0131422332573905,0.233822131038622,0.00010949514789998,5.46182193366006e-05,0.0755624143937585,0.861000542789591,0.438588653389069
16,0.0433799670571258,0.13790715033433,0.0104478569285178,0.274212653107255,0.000286432897076066,0.000169987827476405,0.0734810540133786,0.992584999944505,0.452726118171518
17,0.0356506690571443,0.0793781801464626,0.015389971426048,0.0528529119203372,8.24842204272052e-05,4.62201406022827e-05,0.166318622231842,0.785499480967844,0.457281668067241
18,0.0692852323411223,0.109663082659419,0.00382836797336651,0.0906396893085497,0.000787555152172317,0.000171860746588145,0.0927783254237766,0.990947360686263,0.444949603168804
