"model","inv","invSQ","epu","fc","divida","cv","tamanho","sargan","m2"
1,0.255302605772844,0.0265576002577711,0.0342257049633176,0.110750691956113,6.86121167316122e-10,0.0174853600019339,0.0822951618443155,0.844498038797203,0.228889407255612
2,0.240692337253439,0.0223520232569835,0.0383300137352202,0.0949694540677926,1.27990490853577e-09,0.011598630805642,0.0863062683140591,0.904542188294102,0.155026216325663
3,0.202249577888309,0.0187101218791786,0.100584710046871,0.0400368322358394,3.3993878768592e-09,0.00565282148547404,0.0364300694768664,0.97431416647582,0.177693615640661
4,0.180847190711385,0.0132495141960225,0.121504355328744,0.0618361197432717,1.89534434443026e-09,0.00386311907810678,0.0392567025338205,0.999088690912081,0.181606057754267
5,0.260379797148283,0.0206830724473948,0.0131570360043242,0.123521265227716,2.52678268579157e-10,0.00725173542795647,0.154545940661023,0.500084377768858,0.279341771733981
6,0.213030369361974,0.0174029362592686,0.0639107460170935,0.214760663450799,1.25093296894706e-08,0.0148263789226927,0.0589994966277588,0.933066054941084,0.231497863441668
7,0.17805239427665,0.0146986753818516,0.106070578855033,0.206793835671525,4.26978064558619e-08,0.00880049920990836,0.055823277996006,0.997114574726809,0.150969544872577
8,0.253197729909726,0.0253077639300331,0.0447532564521885,0.172910137297122,1.45155816221688e-09,0.0173744126206419,0.112228608479577,0.821594960679458,0.217087385721875
9,0.219228112610627,0.0206230594583526,0.0923395817734392,0.0433850992422261,1.06582861981057e-08,0.0208776520638563,0.0471515246312756,0.990412656780124,0.178529565426474
10,0.623088051154032,0.0647472117995432,0.0196829533907701,0.20690580808595,6.57739699171637e-12,0.00512191202628731,0.0324666710385674,0.886040597478,0.464481119878126
11,0.553411956363959,0.0571935017455943,0.0183645144833915,0.159951375208051,1.04928608935185e-11,0.00459403950517895,0.0221367425238157,0.94621454234172,0.38624679460584
12,0.430436132494927,0.0358870803700409,0.0621447922943187,0.0841661560207704,1.23709769933604e-11,0.00103398981712249,0.0116030060177221,0.979275147410255,0.390890230386199
13,0.325712599076113,0.0245027529020265,0.076113667536268,0.0608093577330208,4.42525027784403e-11,0.00107376842249328,0.0148284670870435,0.999304026084217,0.349983296918473
14,0.493447809343838,0.037130022445538,0.0145389125492314,0.358077623959643,3.88743443301632e-12,0.00831966063876794,0.038871197836327,0.824297389857742,0.460143243967913
15,0.412590431273056,0.0300186347649646,0.02812633383277,0.412987397034858,1.08927495247721e-11,0.00327512488046075,0.0317783104071868,0.93391773706815,0.38945729991911
16,0.369254141349612,0.0287932336622503,0.0518415046261517,0.283207678850751,1.80639171209641e-10,0.0026402972219162,0.0208870788307734,0.998412518896288,0.385692485073195
17,0.506585021871683,0.0540250737949083,0.0190178181850069,0.206666754336097,1.46676234856443e-12,0.00765497653941282,0.0546428984559456,0.802116413235159,0.485037943087317
18,0.472278052336767,0.0447006862334862,0.0505443703800002,0.0471827217431371,5.828995243299e-11,0.00456443789434692,0.0270037964588644,0.987867439503231,0.402224110098155
19,0.46508857736077,0.036931868566622,0.0254467198194314,0.239301066746498,9.98931871398444e-12,0.00194108858562603,0.0393950089227837,0.952636359772108,0.302164068148802
20,0.41756878866001,0.0323216470851305,0.0280652203439726,0.212741892224338,1.45574777095806e-11,0.00134843263502521,0.027130344756287,0.98444760748344,0.351747769528744
21,0.392988727252131,0.0303500142622604,0.0584793994532684,0.105244044872489,8.79582495331534e-11,0.000701539423123121,0.0207070944772255,0.994866233641667,0.384773414668144
22,0.314754720944813,0.0239672180570251,0.0725521004913282,0.0792317388174252,3.84562386836205e-10,0.000643386448613144,0.0186571236285657,0.999910429454599,0.336557842237129
23,0.364931223603107,0.0251160726237075,0.0308494400647628,0.489271629450762,1.23829798280723e-11,0.00231878648879914,0.0444128863992929,0.941112879259876,0.377276996252551
24,0.366553790604309,0.0253063090687603,0.0389368177622562,0.512579077692225,3.30067593707257e-11,0.00154374538853701,0.0517989050038637,0.980472124139831,0.329274088295289
25,0.313195004613218,0.0260884860539165,0.0644414794214572,0.325702652688299,1.07976833873246e-09,0.001112845514632,0.0349293073378297,0.99954817230179,0.342795743515989
26,0.427633664214677,0.0349438664583184,0.0295151256812643,0.516696254380456,1.86147334589492e-11,0.0028943053234425,0.0639198953798837,0.932554473756007,0.374096072575421
27,0.385175329483979,0.029340432008368,0.0562804565339753,0.162512105012811,4.92301661741792e-10,0.00218146494139295,0.0318532500563337,0.998032322111577,0.366896158602348
28,0.468058864465598,0.0379075309596365,0.0407189340884027,0.266215023100146,3.85996667133238e-11,0.00458004634906072,0.0267425970646809,0.997963016775989,0.429467313473975
29,0.414922497891315,0.0308583419459214,0.0538688936854345,0.199359370772391,6.81387063456648e-11,0.00335318283158903,0.0256642764142176,0.999553957554109,0.397979366056128
30,0.364453754418237,0.0274463073577452,0.131842690116004,0.135858784601722,4.94658683564753e-10,0.001522967513371,0.0145216136446916,0.999904629688733,0.359233394296781
31,0.334584556679296,0.0253196017767982,0.0838289950894325,0.0691830647340693,7.70446252286084e-10,0.000963069842809125,0.0259182825380275,0.999999625732129,0.309460789392221
32,0.422876253661172,0.0304843391557774,0.0500051598941519,0.466182204039734,1.74931789254906e-10,0.00580515434975335,0.0282646550339654,0.998081070077746,0.378140047484871
33,0.394182238333162,0.0305122121057778,0.0897967964606807,0.482759547505779,5.25417071623349e-10,0.00409467322812695,0.0198982933208011,0.999628824646596,0.34510035589665
34,0.356305411194017,0.0262448790228033,0.0482582442690834,0.251895310799625,1.03650981924162e-09,0.00237463979587868,0.029113215206178,0.999997550404723,0.31755078624869
35,0.444168676443392,0.0374056081947871,0.0600303537615139,0.500212783712534,9.90791950653266e-11,0.00554774607580656,0.0258763929447062,0.99793181552807,0.395934021683774
36,0.427910113370275,0.0335765616072234,0.0427377350754272,0.11225612290019,9.67820507495784e-10,0.00304508260536512,0.0313540857082251,0.999978457669285,0.378395012210091
37,0.418600409093007,0.0355661219737401,0.0196186517279822,0.118741950282779,1.1611324996222e-09,0.0012040398233684,0.0440486232998853,0.76422971985721,0.251701371071594
38,0.48157274365757,0.0397148120953993,0.0298384639840012,0.117212669985038,8.78776319571627e-10,0.00114073051351926,0.0266966852953554,0.897644357341803,0.273629342297588
