ano,fbcf
1996,103.349916747271
1997,110.014432792517
1998,110.76051114755799
1999,99.1542740062349
2000,105.16205732679
2001,105.1699224639465
2002,105.9796017469025
2003,100.1754540360205
2004,108.6327300069425
2005,111.432269946021
2006,120.439544916605
2007,132.3278288041245
2008,146.097982663822
2009,146.5940746503095
2010,172.727243981162
2011,185.263983558863
2012,185.783740228544
2013,198.912914320362
2014,188.863651308453
2015,162.8670904192295
2016,141.2767645736185
2017,137.7487550487655
2018,143.79987063467848
2019,148.2165749210585
2020,150.1339985655295
2021,173.257411169512
