"CD_CVM","DENOM_SOCIAL","DENOM_COMERC","DT_INI_CATEG"
"1835","AES TIETE SA","AES TIETE SA","01/01/2010"
"1835","AES TIETE SA","AES TIETE SA","01/01/2010"
"1045","ALPARGATAS SA","ALPARGATAS","01/01/2010"
"1045","ALPARGATAS SA","ALPARGATAS","01/01/2010"
"2149","ALUPAR INVESTIMENTO S/A","ALUPAR INVESTIMENTO S/A","04/10/2012"
"2326","AMBEV S.A.","AMBEV S.A","08/04/2013"
"2326","AMBEV S.A.","AMBEV S.A","08/04/2013"
"2099","AMERICANAS S.A.","AMERICANAS S.A.","01/01/2010"
"2324","ANIMA HOLDING S/A",NA,"03/09/2013"
"2234","AREZZO INDÚSTRIA E COMERCIO S/A","AREZZO INDÚSTRIA E COMERCIO S/A","31/01/2011"
"531","ARTEFATOS PAPEL NE SA ARTEPE","ARTEPE",NA
"1977","ARTERIS S.A.","ARTERIS","17/06/2016"
"1910","ATMA  PARTICIPAÇÕES  S.A.","LIQ PARTICIPAÇÕES S.A.","01/01/2010"
"1197","AZEVEDO & TRAVASSOS SA","AZEVEDO & TRAVASSOS","01/01/2010"
"1139","BANCO BEA SA","BANCO BEA",NA
"787","BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.","BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.",NA
"1376","BANFORT-BANCO FORTALEZA S.A.","BANFORT",NA
"1341","BCO NACIONAL INVS SA","BCO NACIONAL INV",NA
"2065","BEMATECH  S/A","BEMATECH  S/A","01/01/2010"
"2090","BHG S.A. - BRAZIL HOSPITALITY GROUP","BHG S.A. - BRAZIL HOSPITALITY GROUP","01/01/2010"
"2284","BIOSEV S.A.","LDC BIOENERGIA SA","12/07/2012"
"1732","BOAVISTA SA CRED FIN E INV","BOAVISTA",NA
"1219","BOMBRIL SA","BOMBRIL SA","01/01/2010"
"1791","BORBONITE SA IND DE BORRACHAS","BORBONITE",NA
"2003","BRASILAGRO CIA BRAS DE PROP AGRICOLAS","BRASILAGRO CIA BRAS DE PROP AGRICOLAS","01/01/2010"
"1910","BRASILIT SA","BRASILIT",NA
"1945","BRASIMET COM E INDUSTRIA SA","BRASIMET",NA
"1961","BRASMETAL CIA BRAS METALURGIA","BRASMETAL",NA
"1629","BRF S.A.","BRF S.A.","01/01/2010"
"2003","BRINQUEDOS BANDEIRANTES SA","BRINQ BANDEIRANTE",NA
"2026","BROOKFIELD INCORPORAÇÕES S.A.","BROOKFIELD INCORPORAÇÕES","05/01/2015"
"2054","CAETANO BRANCO SA","CAETANO BRANCO",NA
"2062","CAFE SOLUVEL BRASILIA SA","CAFE SOLUVEL BRASILIA S/A","01/01/2010"
"2070","CAJU INDUSTRIAL SA CISA","CAJU INDUSTRIAL",NA
"2097","CALCADOS ORTOPE SA IND E COM","ORTOPE",NA
"2135","CARFEPE SA - ADMINISTRADORA E PARTICIPADORA","CARFEPE","01/01/2010"
"2143","CARIRI INDUSTRIAL DE OLEOS SA","CARIRI INDUSTRIAL DE OLEOS SA","01/01/2010"
"2348","CCE IND COM","CCE",NA
"1882","CCR S.A.","CCR S.A.","01/01/2010"
"1486","CIA ENERG CEARA - COELCE","CIA ENERG CEARA - COELCE","01/01/2010"
"2064","CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA","CEEE-D","01/01/2010"
"1476","CIA HERING","CIA HERING","01/01/2010"
"1444","CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","SABESP","01/01/2010"
"1444","CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","SABESP","01/01/2010"
"1862","CIA. DE SANEAMENTO DO PARANÁ - SANEPAR","SANEPAR","01/01/2010"
"1797","COGNA EDUCAÇÃO S.A.","KROTON EDUCACIONAL S.A.","01/01/2010"
"1482","COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","PÃO DE AÇÚCAR","01/01/2010"
"1482","COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","PÃO DE AÇÚCAR","01/01/2010"
"2269","COMPANHIA DE LOCAÇÃO DAS AMERICAS","LOCAMERICA","01/03/2012"
"1944","COMPANHIA DE SANEAMENTO DE MINAS GERAIS","COPASA MG","01/01/2010"
"1944","COMPANHIA DE SANEAMENTO DE MINAS GERAIS","COPASA MG","01/01/2010"
"1431","COMPANHIA PARANAENSE DE ENERGIA COPEL","COPEL","01/01/2010"
"1431","COMPANHIA PARANAENSE DE ENERGIA COPEL","COPEL","01/01/2010"
"2097","COMPANHIA PROVIDENCIA IND E COMERCIO","COMPANHIA PROVIDENCIA","01/01/2010"
"1303","CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","CONSTRUTORA SULTEPA S/A","01/01/2010"
"2348","COSAN LOGÍSTICA S.A.","COSAN LOGÍSTICA S.A.","29/07/2014"
"1983","COSAN S.A.","COSAN SA INDUSTRIA E COMERCIO","01/01/2010"
"1866","CPFL ENERGIA SA","CPFL ENERGIA S.A.","01/01/2010"
"1866","CPFL ENERGIA SA","CPFL ENERGIA S.A.","01/01/2010"
"2054","CPFL ENERGIAS RENOVÁVEIS S.A.","CPFL RENOVÁVEIS","02/07/2020"
"2054","CPFL ENERGIAS RENOVÁVEIS S.A.","CPFL RENOVÁVEIS","02/07/2020"
"2014","CREMER SA","CREMER S.A.","01/01/2010"
"2004","CSU CARDSYSTEM S/A","CSU CARDSYSTEM S/A","01/01/2010"
"1837","CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","CTEEP","01/01/2010"
"1837","CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","CTEEP","01/01/2010"
"1446","CYRELA BRAZIL REALTY SA EMPRS E PARTS","CYRELA BRAZIL REALTY S.A.","01/01/2010"
"2109","DEXCO S.A.","DEXCO S.A.","01/01/2010"
"2109","DEXCO S.A.","DEXCO S.A.","01/01/2010"
"1663","DEXXOS PARTICPAÇÕES S.A.","DEXXOS PARTICPAÇÕES S.A.","01/01/2010"
"1962","DIAGNOSTICOS DA AMERICA SA","DIAGNOSTICOS DA AMERICA SA","01/01/2010"
"1962","DIAGNOSTICOS DA AMERICA SA","DIAGNOSTICOS DA AMERICA SA","01/01/2010"
"2135","DIRECIONAL ENGENHARIA SA","DIRECIONAL ENGENHARIA SA","01/01/2010"
"1859","DTCOM - DIRECT TO COMPANY S.A.","DTCOM","01/01/2010"
"1859","DTCOM - DIRECT TO COMPANY S.A.","DTCOM","01/01/2010"
"1945","ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","31/03/2010"
"1976","EDP ENERGIAS DO BRASIL S/A","EDP ENERGIAS DO BRASIL S/A","01/01/2010"
"1976","EDP ENERGIAS DO BRASIL S/A","EDP ENERGIAS DO BRASIL S/A","01/01/2010"
"1748","ELEKTRO REDES S.A.","ELEKTRO REDES S.A.","01/01/2010"
"1417","ELETROPAULO METROPOLITANA EL.S.PAULO S.A","AES ELETROPAULO","03/12/2019"
"1417","ELETROPAULO METROPOLITANA EL.S.PAULO S.A","AES ELETROPAULO","03/12/2019"
"1699","EMAE EMP.METROPOLITANA ÁGUAS ENERGIA S.A","EMAE","01/01/2010"
"1545","EMBPAR PARTICIPAÇÕES S/A","EMBPAR PARTICIPAÇÕES S/A","01/01/2010"
