"id_cvm","dt_reg"
"1835",1999-07-14
"1835",1999-07-14
"1045",1977-07-20
"1045",1977-07-20
"2149",2008-06-18
"2326",2013-10-30
"2326",2013-10-30
"2099",2007-07-26
"2324",2013-10-24
"2234",2011-01-31
"1977",2005-07-06
"1910",2001-10-29
"1197",1984-08-20
"1139",1977-07-20
"1376",1977-07-20
"1341",1977-07-20
"2065",2007-04-17
"2090",2007-07-12
"2284",2012-07-12
"1732",1977-07-20
"1219",1984-09-26
"1791",1970-02-26
"2003",2006-04-25
"1910",1979-12-12
"1945",1971-08-06
"1961",1969-07-29
"1629",1997-06-24
"2003",1989-08-15
"2026",2006-09-11
"2054",1975-07-24
"2062",1977-07-20
"2070",1973-10-11
"2097",1975-05-22
"2135",1977-07-20
"2143",1977-07-20
"2348",1981-03-19
"1882",2000-12-19
"1486",1995-06-13
"2064",2007-04-17
"1476",1995-01-26
"1444",1994-06-27
"1444",1994-06-27
"1862",2000-03-10
"1797",1998-12-01
"1482",1995-04-04
"1482",1995-04-04
"2269",2011-12-30
"1944",2003-09-17
"1944",2003-09-17
"1431",1994-04-04
"1431",1994-04-04
"2097",2007-07-25
"1303",1986-09-29
"2348",2014-09-11
"1983",2005-10-26
"1866",2000-05-18
"1866",2000-05-18
"2054",2007-03-08
"2054",2007-03-08
"2014",2006-06-30
"2004",2006-04-25
"1837",1999-07-14
"1837",1999-07-14
"1446",1994-07-07
"2109",2007-09-10
"2109",2007-09-10
"1663",1997-11-20
"1962",2004-11-05
"1962",2004-11-05
"2135",2008-02-29
"1859",2000-02-04
"1859",2000-02-04
"1945",2003-09-24
"1976",2005-07-05
"1976",2005-07-05
"1748",1998-07-08
"1417",1993-08-19
"1417",1993-08-19
"1699",1998-03-27
"1545",1996-03-14
"2008",2006-05-23
"2236",2011-02-02
"1460",1994-10-25
"1525",1995-12-20
"2123",2007-12-07
"1732",1998-05-28
"1732",1998-05-28
"1732",1998-05-28
"2001",2006-03-30
"2052",2007-03-02
"1341",1988-11-22
"2077",2007-06-15
"2062",2007-04-10
"1279",1986-06-02
"2188",2009-12-14
"1610",1997-02-21
"1956",2004-06-09
"1956",2004-06-09
"1961",2004-10-26
"2087",2007-07-09
"2143",2008-04-16
"1193",1984-07-17
"1193",1984-07-17
"1193",1984-07-17
"1279",1977-07-20
"1253",1985-11-14
"2057",2007-03-27
"2060",2007-04-04
"1328",1988-03-04
"1265",1997-08-06
"1987",2005-12-12
"2303",2013-02-06
"1973",2005-05-06
"1973",2005-05-06
"2071",2007-06-04
"2006",2006-05-08
"2033",2006-10-11
"2247",2011-04-28
"2084",2007-07-02
"2078",2007-06-18
"2205",2010-06-14
"2250",2011-06-22
"2061",2007-04-10
"1343",1988-11-29
"2201",2010-04-14
"2201",2010-04-14
"2093",2007-07-18
"1376",1990-12-21
"1791",1998-11-10
"1794",1998-11-13
"2091",2007-07-13
"2478",2019-09-25
"1131",1980-03-27
"2134",2008-02-26
"2350",2014-10-17
"1377",1991-01-04
"2047",2007-01-23
"2218",2010-10-21
"1347",1989-04-19
"1965",2004-12-28
"2036",2006-12-06
"2034",2006-10-24
"2148",2008-06-12
"2249",2011-06-17
"1410",1993-02-05
"1410",1993-02-05
"1257",1985-12-20
"2163",2008-08-20
"2144",2008-04-18
"1836",1999-07-14
"1836",1999-07-14
"2045",2007-01-18
"1630",1997-07-01
"1745",1998-07-02
"1745",1998-07-02
"1269",1986-05-06
"1789",1998-11-09
"1789",1998-11-09
"2051",2007-02-07
"1047",1977-07-20
"1466",1994-12-19
"2322",2013-10-18
"2279",2012-04-26
"2279",2012-04-26
"2074",2007-06-12
"2255",2011-07-22
"2096",2007-07-25
"1398",1992-04-15
"2245",2011-04-11
"1413",1993-06-21
"2251",2011-06-28
"2043",2007-01-09
"2043",2007-01-09
"2080",2007-06-28
"1122",1969-12-04
"1123",1977-07-20
"1767",1998-08-19
"1991",2006-01-04
"2213",2010-08-11
"2035",2006-11-09
"2492",2020-03-17
"1999",2006-03-07
"1933",2002-12-05
"2025",2006-09-06
"2025",2006-09-06
"2113",2007-10-10
"2113",2007-10-10
"1139",1970-12-23
"1846",1999-09-27
"1159",1971-12-08
"1159",1971-12-08
"2002",2006-04-12
"2070",2007-05-23
"1176",1977-07-20
"1199",1984-10-09
"1434",1994-04-22
"2101",2007-07-26
"2101",2007-07-26
