Data,PIB - preços básicos - var. real anual - (% a.a.) - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais (IBGE/SCN Anual) - SCN10_PIBPBG10,
1996,1.97905922780603,
1997,2.91072149628984,
1998,0.624667383196953,
1999,0.96111842582367,
2000,3.92839156424962,
2001,1.51309554714156,
2002,3.57951070787152,
2003,1.22670359057389,
2004,5.65669438602927,
2005,3.01400038110189,
2006,3.68621540322791,
2007,5.79920748787797,
2008,4.67660701810309,
2009,-0.0968544538727079,
2010,6.97618665587536,
2011,3.74314226544428,
2012,1.61192389867815,
2013,2.87575847058039,
2014,0.461003654123182,
2015,-3.15007800537893,
2016,-2.90014684999867,
2017,1.25421093165052,
2018,1.75612305238115,
2019,0.97888091297007,
2020,-3.92465701137504,
