"setor_economatica","setor_bovespa","id_cvm","codigo","listagem_bovespa","at","k","ll","d_cp","d_lp","v","depreciacao","caixa","dividendos","qtd_acoes","pl","v_merc","ebit","desp_fin","div_onerosa","fcl","cap_giro","ano","inv","fc","divida","cv","tamanho","alavanc","caixa_normalizado","dividendos_normalizado","q_tobin","cob_juros","div_pl","roa","roe","rok","fcl_normalizado","divonerosa_normalizado","tx_vendas","epu","cvm_reg","idade_firma","divlp_at","dum_dividendos","cv_industria","ln_epu","kz","ww","sa","fcp","dum_kz","dum_ww","dum_sa","dum_fcp"
"Alimentos e Bebidas","Consumo Nao Ciclico",2326,"ABEV3","Tradicional",72189861878,14496373365,13519695110,22542660799,9235318271.9,42442540082,2276091819.3,12636109156,8062619942.053,3117189000,40071542587,252411736538.9,18321378132,1930291134.9,6418448098.4,14829823075,424831900.25,2011,0.237074089039661,1.34796188220476,2.71183098840218,0.0093940835201822,25.0025654557836,0.44228518628427,1.07832509756584,0.688038171269068,3.93669842574401,9.49151027052153,0.201205629270401,0.187279692165752,0.337388935817661,1.15372749384875,1.26552961966463,0.547729810377751,1.00939408352018,133.884857654572,1998,13,0.127930959163041,1,0.148548721291337,4.89698015933123,-27.3537392138036,-1.26726768454418,7.93362527202945,-5.97829742927485,0,0,1,0
"Alimentos e Bebidas","Consumo Nao Ciclico",2326,"ABEV3","Tradicional",80063937432,16870678896,14721695908.59,22941134488,12886672394,47646859962,2614552542.2,13195475705,8056853900.2,3126909000,42669033424,252411736538.9,20489831178,2179639121.6,4647348513.6,12861606480,1089860213.8,2012,0.163786174046297,1.19590245189508,2.47150138727128,0.122620367912597,25.1060913703157,0.456423554659454,0.910260474999845,0.555784105261282,3.60011701480093,9.40056130161543,0.188822039162206,0.183874243270804,0.345020609262489,1.01554337336082,0.887229250803723,0.320586976934558,1.1226203679126,117.530190149943,1998,14,0.160954766994128,1,0.244008666995311,4.76669523802776,-21.8246213398745,-1.25151792215289,8.04039108754686,-5.68545185225196,0,0,1,0
"Alimentos e Bebidas","Consumo Nao Ciclico",2326,"ABEV3","Tradicional",95854449004,19454172462,13308806053,23980469545,10462889729,48561445259,2920278385.5,15752642986,8062619942.053,13044497000,59793900531,252411736538.9,20780218551.21,3483775205.4,4039490500.9,15067954471.36,4591352022.7,2013,0.153135127633337,0.961969849497158,2.04161074289467,0.0191950801737914,25.286096721678,0.365496188506242,0.93372905044947,0.477907260979558,2.99261118073851,5.96485631994848,0.134840173838015,0.138843905434631,0.222577987634376,0.788871991165423,0.893144523954669,0.239438526795608,1.01919508017379,137.888738632202,1998,15,0.109153929084329,1,-0.0341911302704274,4.92644711817385,-19.0124009826337,-1.26399460264097,8.25777427509967,-5.46709405855056,0,0,1,0
"Alimentos e Bebidas","Consumo Nao Ciclico",2326,"ABEV3","Tradicional",94632979945,20646832011,14721695908.59,28628396939,8754212708.5,49950701868,3138343630,12752804604,8062619942.053,13044497000,55383668760,252411736538.9,20780218551.21,3474304651.7,3440194217.1,15067954471.36,1438139683.9,2014,0.0613061054809518,0.918057016996028,1.92157285130065,0.0286082220492094,25.27327187746,0.402976278549056,0.655530561832438,0.414441681228116,3.06229758753055,5.98111583019702,0.14557757047464,0.155566229840233,0.265812941580037,0.756737195444628,0.774535874028688,0.176835803415425,1.02860822204921,148.63472366333,1998,16,0.0925069961189839,1,0.0432976197801332,5.0014917770144,-15.9667867776384,-1.25220943479053,8.19934429616843,-5.06216334117316,0,0,1,0
"Alimentos e Bebidas","Consumo Nao Ciclico",2326,"ABEV3","Tradicional",106879780520,22685448338,14721695908.59,35725167297,11497568243,55374217734,3644138773.7,16143054037,8062619942.053,13044497000,57284506328,252411736538.9,20780218551.21,4222305731.2,4266215030.3,15067954471.36,2165921855.2,2015,0.0987374879552411,0.889523132289992,2.28716616257841,0.108577370550913,25.3949704932147,0.451860892086748,0.781865907002075,0.390501551897041,2.8034720002333,4.92153336923429,0.140746956880243,0.137740701159423,0.256992629460686,0.713024443689314,0.729794985658442,0.206628069043575,1.10857737055091,249.816769917806,1998,17,0.107574774078512,1,0.0190530154683018,5.52072772881606,-15.0815246730068,-1.2599230368757,8.33480137960431,-5.18999011584869,0,0,1,0
"Alimentos e Bebidas","Consumo Nao Ciclico",2326,"ABEV3","Tradicional",93492681040,21358697438,13990891791,32085880058,9385345587.9,50852022686,3916283516,8783579151.3,8062619942.053,13044497000,49985007592,252411736538.9,19068855748,5127237468.4,6017497099.4,7230114800.8,5449334602.3,2016,-0.0584846673617458,0.789368366901702,1.82809812828042,-0.0816660755321759,25.2611489925301,0.453454337420865,0.387190018042834,0.355409327685512,3.14337934173762,3.71912864686383,0.161300764578525,0.149646920329669,0.279901763848871,0.616734198176022,0.318711567568579,0.265258019579018,0.918333924467824,308.932376861572,1998,18,0.100385885649001,1,-0.0518312764818563,5.73312240783948,-12.9796982012211,-1.24564345101827,8.10193607468591,-4.5198435216993,0,0,1,0
"Alimentos e Bebidas","Consumo Nao Ciclico",2326,"ABEV3","Tradicional",94077029571,20388118156,7941899526.9,31075012053,11027566262,51883919488,3912564848.7,11215899071,8062619942.053,13044497000,49836193794,252411736538.9,17789952081,4623364709.1,2765433044.3,15067954471.36,4300692761.8,2017,-0.0454418760702705,0.555018133011675,1.97121469776962,0.0202921486205521,25.2673797471608,0.457941490289694,0.52512093041055,0.377486500076007,3.13056562475359,3.8478366298866,0.161782418123266,0.0844191144545677,0.159360073919934,0.371834450577042,0.705471600742472,0.129475734759926,1.02029214862055,346.490038553874,1998,19,0.117218478435031,1,0.0039908147922703,5.84785406945444,-13.7849118243803,-1.22211293302491,8.07088173569345,-4.47312508466048,0,0,1,0
"Alimentos e Bebidas","Consumo Nao Ciclico",2326,"ABEV3","Tradicional",98275412291,20982913032,11510668543,25922855756,12268323397,52445636889,4200398517.5,11968832634,8062619942.053,13044497000,58824233860,252411736538.9,17739431386,4763364433.4,2529568610.2,15067954471.36,523330472.56,2018,0.0291736035395184,0.77059917645594,1.87320766246201,0.0108264257315779,25.3110397035241,0.393660944863291,0.587049405071145,0.395456798923851,2.9570256579683,3.72413902694779,0.137062897601723,0.117126637015942,0.195679021853392,0.56457729227023,0.739055677236482,0.124070725451215,1.01082642573158,165.088276545207,1998,20,0.124836142744155,1,-0.0131575539063948,5.10648034019899,-15.0406147459919,-1.24490970841398,8.09365916605779,-4.72583970870051,0,0,1,0
"Alimentos e Bebidas","Consumo Nao Ciclico",2326,"ABEV3","Tradicional",101842599740,22598412159,11791503305,25035530945,14189791095,52651229655,4679807318.3,11912322530,7879047861.9,13044497000,61338045940,252411736538.9,16068295262,4753084021.5,3065803972.3,13659288984,2612660559.2,2019,0.0769911748924605,0.784986841349455,1.86939353845576,0.0039201119138877,25.3466943185602,0.390055771081584,0.567715384028572,0.375498285194437,2.8636057928945,3.38060408554046,0.128452867077102,0.11578164083697,0.192238000482348,0.561957402531163,0.650972005801525,0.146109549595163,1.00392011191389,158.080664316813,1998,21,0.139330605573954,1,0.0716375825140063,5.06310543639972,-14.2816089461709,-1.23859258036295,8.105047540998,-4.68287984447492,0,0,1,0
"Agro e Pesca","Consumo Nao Ciclico",2003,"AGRO3","Novo Mercado",1077912660.3,21584537.232,20361989.989,148621535.18,82107278.058,164610738.29,40392842.636,65893374.602,0,58422400,847183847.02,863653494.95,26925605.174,36295018.02,117466537.42,82011189.097,258662613.36,2012,-0.177662253190202,2.31466589399839,8.79041372825646,0.273473464466424,20.798292286021,0.214051492059454,2.51043645816824,0,1.01527920442405,0.741854024129783,0,0.0188902039459606,0.024034912918399,0.7757605728648,3.12450045744948,4.47529482190159,1.27347346446642,117.530190149943,1989,23,0.0761724776802865,0,0.0596562042925564,4.76669523802776,-4.66079717545097,-1.12764647332598,2.35212395183723,-6.96709586815441,0,0,0,0
