"setor_economatica","setor_bovespa","id_cvm","codigo","listagem_bovespa","at","k","ll","d_cp","d_lp","v","depreciacao","caixa","dividendos","qtd_acoes","pl","v_merc","ebit","desp_fin","div_onerosa","fcl","cap_giro","ano"
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",71117012001,11718274187,12599915309,17588090922,12595281188,42047541961,2611516368.4,9847032419.2,8062619942.053,3103229000,40595405706,240558326350,16701988980,1840202655.2,11281930277,13046660580,3926073717.1,2010
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",72189861878,14496373365,13519695110,22542660799,9235318271.9,42442540082,2276091819.3,12636109156,8062619942.053,3117189000,40071542587,252411736538.9,18321378132,1930291134.9,6418448098.4,14829823075,424831900.25,2011
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",80063937432,16870678896,14721695908.59,22941134488,12886672394,47646859962,2614552542.2,13195475705,8056853900.2,3126909000,42669033424,252411736538.9,20489831178,2179639121.6,4647348513.6,12861606480,1089860213.8,2012
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",95854449004,19454172462,13308806053,23980469545,10462889729,48561445259,2920278385.5,15752642986,8062619942.053,13044497000,59793900531,252411736538.9,20780218551.21,3483775205.4,4039490500.9,15067954471.36,4591352022.7,2013
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",94632979945,20646832011,14721695908.59,28628396939,8754212708.5,49950701868,3138343630,12752804604,8062619942.053,13044497000,55383668760,252411736538.9,20780218551.21,3474304651.7,3440194217.1,15067954471.36,1438139683.9,2014
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",106879780520,22685448338,14721695908.59,35725167297,11497568243,55374217734,3644138773.7,16143054037,8062619942.053,13044497000,57284506328,252411736538.9,20780218551.21,4222305731.2,4266215030.3,15067954471.36,2165921855.2,2015
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",93492681040,21358697438,13990891791,32085880058,9385345587.9,50852022686,3916283516,8783579151.3,8062619942.053,13044497000,49985007592,252411736538.9,19068855748,5127237468.4,6017497099.4,7230114800.8,5449334602.3,2016
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",94077029571,20388118156,7941899526.9,31075012053,11027566262,51883919488,3912564848.7,11215899071,8062619942.053,13044497000,49836193794,252411736538.9,17789952081,4623364709.1,2765433044.3,15067954471.36,4300692761.8,2017
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",98275412291,20982913032,11510668543,25922855756,12268323397,52445636889,4200398517.5,11968832634,8062619942.053,13044497000,58824233860,252411736538.9,17739431386,4763364433.4,2529568610.2,15067954471.36,523330472.56,2018
"Alimentos e Bebidas","Consumo Nao Ciclico","02326","ABEV3","Tradicional",101842599740,22598412159,11791503305,25035530945,14189791095,52651229655,4679807318.3,11912322530,7879047861.9,13044497000,61338045940,252411736538.9,16068295262,4753084021.5,3065803972.3,13659288984,2612660559.2,2019
"Energia Eletrica","Utilidade Publica","02564","AESB3","Novo Mercado",4571495103.3,3444927350.6,399804919.94,923252488.45,1888483417.4,1741079934.5,179518746.24,80384057.978,857261197.95,1967385000,1759759197.5,6160798247.7,718552253.47,248970233.34,1613089459.1,590390050.66,57390421.551,2016
"Energia Eletrica","Utilidade Publica","02564","AESB3","Novo Mercado",7385081335.5,5114967402.4,323090057.84,2162341062.9,3535469205.1,1871884209,229148414.85,145789518.32,387372931.05,1967187000,1687271067.5,5497549891.4,683066998.77,319833994.8,3888234280.6,776276406.69,452372874.69,2017
"Energia Eletrica","Utilidade Publica","02564","AESB3","Novo Mercado",7937743508.2,5729182104.4,300657002.94,1504600558.1,4842511074.1,2008326301.8,292422327.71,159552444.45,281965845.86,1967385000,1590631876,4165491930.8,763336748.49,440518059.69,4309895579.8,222073122.43,161777383.33,2018
"Energia Eletrica","Utilidade Publica","02564","AESB3","Novo Mercado",7806550921.6,5541010028.5,300412962.22,1905788866.1,4448170655.5,2051730674.1,313487756.26,31869184.861,330690589.7,1995532000,1452591400,6979291916.3,723778236.62,440235782.64,4259112657.2,583639106.68,98861738.891,2019
"Agro e Pesca","Consumo Nao Ciclico","02003","AGRO3","Novo Mercado",1150410183.2,26247776.313,26166416.968,109454916.99,111030471.99,129261223.64,21441316.559,138151296.67,0,58422400,917609805.66,882999828.27,11964517.493,12607569.237,110168375.86,45035526.549,241483922.96,2011
"Agro e Pesca","Consumo Nao Ciclico","02003","AGRO3","Novo Mercado",1077912660.3,21584537.232,20361989.989,148621535.18,82107278.058,164610738.29,40392842.636,65893374.602,0,58422400,847183847.02,863653494.95,26925605.174,36295018.02,117466537.42,82011189.097,258662613.36,2012
"Agro e Pesca","Consumo Nao Ciclico","02003","AGRO3","Novo Mercado",1108178402.4,20307336.004,6208470.0353,219050958.17,73545524.872,60782429.098,33342610.657,88659129.536,0,58226600,815581919.33,768020921.28,21313699.964,17035606.291,141051470.19,34970100.779,92744604.31,2013
"Agro e Pesca","Consumo Nao Ciclico","02003","AGRO3","Novo Mercado",1059427809.4,16377048.779,3623020.3226,192317841.62,80173425.821,104714731.83,31336108.793,28704762.389,0,58226600,786936541.97,694276412.02,15765778.876,45433356.949,161684824.39,109291385.67,56587065.06,2014
"Agro e Pesca","Consumo Nao Ciclico","02003","AGRO3","Novo Mercado",1082163266.3,12146260.075,54287192.645,96966220.655,66851839.704,118638192.3,13035184.261,141567695.37,95533274.868,57531789,918345205.92,752119503.5,5300358.6121,41599281.433,81103072.251,7856904.5705,288484343.88,2015
"Agro e Pesca","Consumo Nao Ciclico","02003","AGRO3","Novo Mercado",915230363.3,29047586.581,1831016.053,137018432.7,46219216.423,69938791.614,7625144.8055,44150681.235,35731575.754,54429189,731992714.18,670676579.1,11462249.701,37811262.075,120650799.55,9010115.535,145366170.93,2016
"Agro e Pesca","Consumo Nao Ciclico","02003","AGRO3","Novo Mercado",996867636.59,63385993.571,34268817.776,157116414.91,88267904.408,189122453.02,19468137.367,23204052.672,14052197.522,53802168,751483317.27,729638820.79,44224398.399,38466171.156,181180518.83,72579009.865,69646820.032,2017
"Agro e Pesca","Consumo Nao Ciclico","02003","AGRO3","Novo Mercado",1348169919,91751843.481,142124626.66,191899150.83,234540506.34,351210412.32,20632105.635,69164172.143,42806320.477,53802168,921730261.85,876874243.82,163010444.24,208173257.93,297513271.85,26224209.162,226809078.67,2018
"Agro e Pesca","Consumo Nao Ciclico","02003","AGRO3","Novo Mercado",1516575009.7,216708054.7,61037727.07,228278376.58,344407011.59,348850359.53,17840457.371,89696770.721,50046972.319,53950410,943889621.57,1027141884.3,90383442.648,136373445.11,458757907.04,40969089.364,251345948.82,2019
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",3743628319.6,502438041.31,510471517.69,1037759845.9,459506183.73,3731219006.5,84602287.726,803994181.73,106373158.67,348363000,2183710839,6165390439.5,540272532.31,72117988.823,493173131.82,560082108.58,1418092712.3,2010
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",3821626789.7,535062860.24,480990188.01,1042493270.7,448095979.07,4028382789.3,84543311.46,798678089.59,159838255.86,348363000,2311994759.4,6733410382.2,487866617.25,97931617.487,369141428.75,427258599.19,1475795930.5,2011
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",4051596955.2,730821593.5,413896547.34,1116788775.6,479516437.98,4445196557.4,88990204.252,181578570.52,124086327.69,383198000,2447495231.1,8435752482.7,431304910.5,107712768.73,441644082.71,1309766.4531,1601770458,2012
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",4692620711.2,871340903.36,432709982.94,1416058776.3,716055175.65,4781916320.6,93032136.87,187987671.16,153154357.71,421519000,2560506759.2,8152700386.2,454188386.02,209840145.72,777222842.55,73679520.628,1632706185.6,2013
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",4783339147.6,915717730.67,367484709.05,1305996510.7,721507051.13,4868072174.7,101954835.11,415309364.35,152559063.21,460751000,2620493083.6,4207478038.2,426339769.09,219075984.84,674237261,157711570.02,1499620843.4,2014
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",4460586007.5,878140942.84,322755334.32,1552084147.9,619538674.4,4890569303.3,120432633.92,468079030.69,503598070.69,460846000,2180269091.5,4599191617.9,437119579.14,264767846.6,797296251.22,343960324.47,1065656536.7,2015
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",4217416519.7,805204363.35,403188173.72,1109013639,804858678.23,4521119859.6,115549156.17,436396248.06,146960782.97,463054000,2203489545.8,4864294162.8,526715965.61,219372895.9,660898665.17,271813329.47,1413378241.1,2016
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",4174015012,781677181.91,392427086.11,1214800723.2,506455366.8,4031477224,115708305.22,681583031.25,161760041.73,463054000,2368271343.6,8645175141.2,410979929.64,140761359.76,794673271.16,213989199.22,1428083683.9,2017
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",4155556237,804697015.31,346114247.77,1210728000.4,366114683.76,4076627809.5,111297059.69,541650980.51,215506890.34,463053374,2485764147.3,8062095560.1,478268934.83,218528463.83,639953394.85,158298501.89,1283909800.3,2018
"Textil","Consumo Ciclico","01045","ALPA4","Nivel 1",4526469272.8,1168738642.4,274373481.89,1257725718.7,531473060.79,3715820030.6,159408986.01,566817646.43,36035.26148,578816719,2645519712.7,17536575193,429470248.28,94315290.067,279023031.6,367328440.83,1354964869.8,2019
"Energia Eletrica","Utilidade Publica","02149","ALUP11","Nivel 2",11669013446,3496845374.8,404570874.15,1639565093.4,4303717570,1801727874.1,49399768.771,725885718.47,507369347.54,624901800,3581932680,4724585329,1347857728,347974416.64,4582487365.9,212212987.24,1319171469.9,2013
"Energia Eletrica","Utilidade Publica","02149","ALUP11","Nivel 2",11711421063,3752516408.5,475878865.94,1434504857.9,5189590961.2,1933643461.9,50566187.696,442963424.61,1344461915.5,624901800,3218099923.1,4819879687.1,1377756449.1,412121841.04,5216830512.2,495230936.48,1409437545,2014
"Energia Eletrica","Utilidade Publica","02149","ALUP11","Nivel 2",11866145841,4340116631.4,247913844.04,2284245960.9,4761505808.2,1770214290.8,87183313.682,701488002.47,561519185.4,624901800,2975024204.8,3246532336.8,1276754696.7,608678391.31,5485681526.3,610093558.62,465752419.78,2015
"Energia Eletrica","Utilidade Publica","02149","ALUP11","Nivel 2",11407610264,4248941888.1,346590597.73,1982074877.4,4343059681.6,1732675325.4,98229216.258,684382951.46,545381847.29,750886270,3232916432.8,5983305540.4,1384355187,572312948.81,5093448420,843769442.03,891757228.16,2016
