setor_economatica,ano,vsum
Agro e Pesca,2010,1590330045.82
Agro e Pesca,2011,1784864435.2870002
Agro e Pesca,2012,1891342672.6729999
Agro e Pesca,2013,1771631868.974
Agro e Pesca,2014,2148115246.349
Agro e Pesca,2015,2250791595.519
Agro e Pesca,2016,1971384286.097
Agro e Pesca,2017,2642143506.475
Agro e Pesca,2018,3305578311.5067167
Agro e Pesca,2019,3392484638.13
Alimentos e Bebidas,2010,203262907640.8
Alimentos e Bebidas,2011,233457352656.80002
Alimentos e Bebidas,2012,290422970078.84
Alimentos e Bebidas,2013,280493080475.35
Alimentos e Bebidas,2014,292637763224.73
Alimentos e Bebidas,2015,298213395054.06
Alimentos e Bebidas,2016,282756614124.42
Alimentos e Bebidas,2017,283885043402.68
Alimentos e Bebidas,2018,280149810640.89
Alimentos e Bebidas,2019,300219065816.96
Comercio,2010,126570341429.6
Comercio,2011,177871618783.2
Comercio,2012,190783484979.6
Comercio,2013,203544116437.8
Comercio,2014,217719582169.0
Comercio,2015,110232629503.78
Comercio,2016,111559687766.87
Comercio,2017,112572893081.95
Comercio,2018,90021356812.6
Comercio,2019,98184543234.98
Construcao,2010,43803138995.982
Construcao,2011,46143875910.83372
Construcao,2012,51888240609.03972
Construcao,2013,49115071058.014595
Construcao,2014,41484609784.461
Construcao,2015,30064967229.351616
Construcao,2016,17381378770.331436
Construcao,2017,15595095958.46515
Construcao,2018,15350571396.621435
Construcao,2019,18049475519.300434
Eletroeletronicos,2010,19347070648.739998
Eletroeletronicos,2011,17811358303.42
Eletroeletronicos,2012,18518712492.66
Eletroeletronicos,2013,17735006910.13
Eletroeletronicos,2014,16420568309.59
Eletroeletronicos,2015,13344270311.017
Eletroeletronicos,2016,12235755853.3333
Eletroeletronicos,2017,12350966714.586718
Eletroeletronicos,2018,8504353270.299999
Eletroeletronicos,2019,9666918341.5
Energia Eletrica,2010,195479552158.431
Energia Eletrica,2011,205819162349.352
Energia Eletrica,2012,220888999096.7
Energia Eletrica,2013,189231617964.93
Energia Eletrica,2014,233941209672.08
Energia Eletrica,2015,235106649862.76
Energia Eletrica,2016,249349551397.46
Energia Eletrica,2017,240781377029.48
Energia Eletrica,2018,237415041747.33
Energia Eletrica,2019,258346740284.486
Maquinas Industriais,2010,11126683054.8
Maquinas Industriais,2011,11243061938.53
Maquinas Industriais,2012,11658417467.23
Maquinas Industriais,2013,12191355423.56
Maquinas Industriais,2014,12920276816.46
Maquinas Industriais,2015,14022635618.07
Maquinas Industriais,2016,12525313980.68
Maquinas Industriais,2017,12260701024.99
Maquinas Industriais,2018,14621478681.657
Maquinas Industriais,2019,15647065076.441
Mineracao,2010,143683359124.0
Mineracao,2011,145642721942.30002
Mineracao,2012,143070866163.7
Mineracao,2013,145554534051.90002
Mineracao,2014,119992087692.27
Mineracao,2015,105349825633.38672
Mineracao,2016,109316915297.28671
Mineracao,2017,121553919042.48672
Mineracao,2018,140394125781.2
Mineracao,2019,140394125781.2
Minerais nao Metalicos,2010,1264335207.1
Minerais nao Metalicos,2011,1866802683.17
Minerais nao Metalicos,2012,3116540492.42
Minerais nao Metalicos,2013,3179468051.59
Minerais nao Metalicos,2014,3240720844.68
Minerais nao Metalicos,2015,3088631086.28
Minerais nao Metalicos,2016,2724565268.3199997
Minerais nao Metalicos,2017,2547428467.26
Minerais nao Metalicos,2018,2463173343.7000003
Minerais nao Metalicos,2019,2398539035.45
Outros,2010,67410438319.008995
