"","X","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"21550",21550,2,9,0,0,1,1,1,1,0,9,2,9
"46886",46886,2,9,1,1,1,1,0,0,0,0,3,9
"74436",74436,0,0,0,9,3,9,0,9,3,9,1,9
"74444",74444,0,0,0,9,3,9,1,9,3,9,1,9
"74452",74452,0,0,0,9,3,9,2,9,3,9,1,9
"82958",82958,2,2,0,9,1,1,1,9,0,9,2,9
"83022",83022,2,2,0,9,1,1,1,9,1,9,2,9
"83238",83238,2,2,0,9,1,1,0,0,0,0,2,9
"83466",83466,2,2,0,9,1,9,1,9,0,9,3,9
"83470",83470,2,2,0,9,1,1,1,9,0,9,3,9
"83534",83534,2,2,0,9,1,1,1,9,1,9,3,9
"83982",83982,2,2,0,9,1,1,1,9,0,9,0,0
"84326",84326,2,2,0,9,1,1,0,0,1,1,0,0
"84494",84494,2,2,0,9,1,1,1,9,0,9,1,1
"84558",84558,2,2,0,9,1,1,1,9,1,9,1,1
"85006",85006,2,2,0,9,1,1,1,9,0,9,2,2
"85286",85286,2,2,0,9,1,1,0,0,0,0,2,2
"85350",85350,2,2,0,9,1,1,0,0,1,1,2,2
"87308",87308,0,9,0,9,3,9,1,9,0,0,2,9
"90372",90372,1,9,0,9,3,9,0,9,0,0,0,9
"90380",90380,1,9,0,9,3,9,1,9,0,0,0,9
"90388",90388,1,9,0,9,3,9,2,9,0,0,0,9
"94988",94988,2,9,0,9,3,9,1,9,0,0,1,9
"95278",95278,2,9,0,9,1,1,1,1,0,9,2,9
"95502",95502,2,9,0,9,1,1,1,9,0,0,2,9
"95566",95566,2,9,0,9,1,1,1,9,1,1,2,9
"110093",110093,2,2,1,9,0,0,1,9,0,9,3,3
"110277",110277,2,2,1,9,0,0,0,9,3,9,3,3
"119045",119045,2,9,1,9,0,0,0,9,0,0,0,9
"132390",132390,2,2,2,9,1,1,0,0,0,0,2,9
"135428",135428,0,9,2,9,3,9,0,9,0,0,0,9
"135436",135436,0,9,2,9,3,9,1,9,0,0,0,9
"135948",135948,0,9,2,9,3,9,1,9,0,0,1,9
"136195",136195,0,9,2,9,2,9,0,9,0,9,2,9
"136972",136972,0,9,2,9,3,9,1,9,0,0,3,9
