"","X1","X2","X3","X4","X5","X6","X7","X8"
"76",0,9,2,9,0,0,0,0
"157",0,9,2,9,0,1,0,0
"236",0,1,2,9,0,2,0,0
"238",0,9,2,9,0,2,0,0
"241",1,9,2,9,0,2,0,0
"243",2,9,2,9,0,2,0,0
"246",0,2,0,0,0,9,0,0
"309",0,2,2,2,0,9,0,0
"310",0,9,2,2,0,9,0,0
"313",1,9,2,2,0,9,0,0
"317",0,1,2,9,0,9,0,0
"318",0,2,2,9,0,9,0,0
"319",0,9,2,9,0,9,0,0
"320",1,1,2,9,0,9,0,0
"321",1,2,2,9,0,9,0,0
"323",2,2,2,9,0,9,0,0
"324",2,9,2,9,0,9,0,0
"553",0,9,2,2,1,9,0,0
"560",0,1,2,9,1,9,0,0
"561",0,2,2,9,1,9,0,0
"562",0,9,2,9,1,9,0,0
"563",1,1,2,9,1,9,0,0
"564",1,2,2,9,1,9,0,0
"566",2,2,2,9,1,9,0,0
"1003",0,9,0,9,0,9,0,1
"1006",1,9,0,9,0,9,0,1
"1048",0,9,2,9,0,9,0,1
"1051",1,9,2,9,0,9,0,1
"1053",2,9,2,9,0,9,0,1
"1246",0,9,0,9,1,9,0,1
"1249",1,9,0,9,1,9,0,1
"1251",2,9,0,9,1,9,0,1
"1291",0,9,2,9,1,9,0,1
"1294",1,9,2,9,1,9,0,1
"1735",1,9,0,9,0,9,0,2
"1764",2,9,1,9,0,9,0,2
"1975",0,9,0,9,1,9,0,2
"2304",2,9,0,9,0,1,0,9
"2380",0,9,0,9,0,2,0,9
"2385",2,9,0,9,0,2,0,9
"2434",0,9,0,0,0,9,0,9
"2452",0,9,0,2,0,9,0,9
"2493",2,9,1,9,0,9,0,9
"2695",0,9,0,2,1,9,0,9
"2722",0,9,1,2,1,9,0,9
"2871",2,9,0,9,2,9,0,9
"2898",2,9,1,9,2,9,0,9
"2992",0,9,2,9,0,0,1,1
"3073",0,9,2,9,0,1,1,1
"3157",1,9,2,9,0,2,1,1
"3159",2,9,2,9,0,2,1,1
"3162",0,2,0,0,0,9,1,1
"3225",0,2,2,2,0,9,1,1
"3226",0,9,2,2,0,9,1,1
"3229",1,9,2,2,0,9,1,1
"3233",0,1,2,9,0,9,1,1
"3234",0,2,2,9,0,9,1,1
"3235",0,9,2,9,0,9,1,1
"3236",1,1,2,9,0,9,1,1
"3237",1,2,2,9,0,9,1,1
"3239",2,2,2,9,0,9,1,1
"3240",2,9,2,9,0,9,1,1
"3469",0,9,2,2,1,9,1,1
"3476",0,1,2,9,1,9,1,1
"3477",0,2,2,9,1,9,1,1
"3478",0,9,2,9,1,9,1,1
