"","X","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,0,0,0,1,1,0,0,0,0,0,0
"5",5,0,0,0,0,0,0,1,1,0,0,0,0
"6",6,0,0,0,0,1,1,1,1,0,0,0,0
"10",10,0,0,0,0,1,1,2,2,0,0,0,0
"13",13,0,0,0,0,0,0,3,3,0,0,0,0
"18",18,0,0,0,0,1,1,0,0,1,1,0,0
"22",22,0,0,0,0,1,1,1,1,1,1,0,0
"50",50,0,0,0,0,1,1,0,0,3,3,0,0
"65",65,0,0,0,0,0,0,0,0,0,0,1,1
"66",66,0,0,0,0,1,1,0,0,0,0,1,1
"69",69,0,0,0,0,0,0,1,1,0,0,1,1
"70",70,0,0,0,0,1,1,1,1,0,0,1,1
"74",74,0,0,0,0,1,1,2,2,0,0,1,1
"77",77,0,0,0,0,0,0,3,3,0,0,1,1
"82",82,0,0,0,0,1,1,0,0,1,1,1,1
"86",86,0,0,0,0,1,1,1,1,1,1,1,1
"114",114,0,0,0,0,1,1,0,0,3,3,1,1
"129",129,0,0,0,0,0,0,0,0,0,0,2,2
"130",130,0,0,0,0,1,1,0,0,0,0,2,2
"133",133,0,0,0,0,0,0,1,1,0,0,2,2
"134",134,0,0,0,0,1,1,1,1,0,0,2,2
"135",135,0,0,0,0,2,2,1,1,0,0,2,2
"138",138,0,0,0,0,1,1,2,2,0,0,2,2
"140",140,0,0,0,0,3,3,2,2,0,0,2,2
"141",141,0,0,0,0,0,0,3,3,0,0,2,2
"146",146,0,0,0,0,1,1,0,0,1,1,2,2
"150",150,0,0,0,0,1,1,1,1,1,1,2,2
"193",193,0,0,0,0,0,0,0,0,0,0,3,3
"194",194,0,0,0,0,1,1,0,0,0,0,3,3
"197",197,0,0,0,0,0,0,1,1,0,0,3,3
"198",198,0,0,0,0,1,1,1,1,0,0,3,3
"202",202,0,0,0,0,1,1,2,2,0,0,3,3
"203",203,0,0,0,0,2,2,2,2,0,0,3,3
"205",205,0,0,0,0,0,0,3,3,0,0,3,3
"206",206,0,0,0,0,1,1,3,3,0,0,3,3
"210",210,0,0,0,0,1,1,0,0,1,1,3,3
"214",214,0,0,0,0,1,1,1,1,1,1,3,3
"222",222,0,0,0,0,1,1,3,3,1,1,3,3
